rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,24.01%,수익률,SRI,2025-11-07,2025-11-07 01:14:53
2,한화그린히어로증권자투자신탁(주식)J-Pe(연금저축),K55213DB6079,20.71%,수익률,SRI,2025-11-07,2025-11-07 01:14:53
3,한화그린히어로증권자투자신탁(주식)J-e,K55213DB6061,20.71%,수익률,SRI,2025-11-07,2025-11-07 01:14:53
4,한화그린히어로증권자투자신탁(주식)S-RP(퇴직연금),K55213DB6038,20.70%,수익률,SRI,2025-11-07,2025-11-07 01:14:53
5,한화그린히어로증권자투자신탁(주식)S-P(연금저축),K55213DB6020,20.70%,수익률,SRI,2025-11-07,2025-11-07 01:14:53
1,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,"1,309.00",설정액증가,SRI,2025-11-07,2025-11-07 01:14:53
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,499.00,설정액증가,SRI,2025-11-07,2025-11-07 01:14:53
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,386.71,설정액증가,SRI,2025-11-07,2025-11-07 01:14:53
4,KB스타ESG우량중단기채증권자투자신탁(채권)A-E,K55223DJ9677,105.57,설정액증가,SRI,2025-11-07,2025-11-07 01:14:53
5,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,100.00,설정액증가,SRI,2025-11-07,2025-11-07 01:14:53
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,24.01%,수익률,ESG_주식,2025-11-07,2025-11-07 01:14:53
2,한화그린히어로증권자투자신탁(주식)J-Pe(연금저축),K55213DB6079,20.71%,수익률,ESG_주식,2025-11-07,2025-11-07 01:14:53
3,한화그린히어로증권자투자신탁(주식)J-e,K55213DB6061,20.71%,수익률,ESG_주식,2025-11-07,2025-11-07 01:14:53
4,한화그린히어로증권자투자신탁(주식)S-RP(퇴직연금),K55213DB6038,20.70%,수익률,ESG_주식,2025-11-07,2025-11-07 01:14:53
5,한화그린히어로증권자투자신탁(주식)S-P(연금저축),K55213DB6020,20.70%,수익률,ESG_주식,2025-11-07,2025-11-07 01:14:53
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,58.72,설정액증가,ESG_주식,2025-11-07,2025-11-07 01:14:53
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,40.36,설정액증가,ESG_주식,2025-11-07,2025-11-07 01:14:53
3,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,27.57,설정액증가,ESG_주식,2025-11-07,2025-11-07 01:14:53
4,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,22.85,설정액증가,ESG_주식,2025-11-07,2025-11-07 01:14:53
5,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,20.00,설정액증가,ESG_주식,2025-11-07,2025-11-07 01:14:53
1,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassC-F,K55302CJ6595,3.50%,수익률,ESG_채권,2025-11-07,2025-11-07 01:14:53
2,삼성KODEX아시아달러채권ESG플러스액티브증권상장지수투자신탁[채권],K55105DR4770,3.50%,수익률,ESG_채권,2025-11-07,2025-11-07 01:14:53
3,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassAe,K55302CJ6546,3.48%,수익률,ESG_채권,2025-11-07,2025-11-07 01:14:53
4,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassA,K55302CJ6538,3.45%,수익률,ESG_채권,2025-11-07,2025-11-07 01:14:53
5,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97347,3.31%,수익률,ESG_채권,2025-11-07,2025-11-07 01:14:53
1,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,"1,309.00",설정액증가,ESG_채권,2025-11-07,2025-11-07 01:14:53
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,499.00,설정액증가,ESG_채권,2025-11-07,2025-11-07 01:14:53
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,386.71,설정액증가,ESG_채권,2025-11-07,2025-11-07 01:14:53
4,KB스타ESG우량중단기채증권자투자신탁(채권)A-E,K55223DJ9677,105.57,설정액증가,ESG_채권,2025-11-07,2025-11-07 01:14:53
5,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,100.00,설정액증가,ESG_채권,2025-11-07,2025-11-07 01:14:53
