rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,한화그린히어로증권자투자신탁(주식)J-Pe(연금저축),K55213DB6079,11.57%,수익률,SRI,2025-08-15,2025-08-15 01:17:57
2,한화그린히어로증권자투자신탁(주식)J-e,K55213DB6061,11.56%,수익률,SRI,2025-08-15,2025-08-15 01:17:57
3,한화그린히어로증권자투자신탁(주식)S-RP(퇴직연금),K55213DB6038,11.56%,수익률,SRI,2025-08-15,2025-08-15 01:17:57
4,한화그린히어로증권자투자신탁(주식)S-P(연금저축),K55213DB6020,11.55%,수익률,SRI,2025-08-15,2025-08-15 01:17:57
5,한화그린히어로증권자투자신탁(주식)C-RPe(퇴직연금),K55213DB6004,11.55%,수익률,SRI,2025-08-15,2025-08-15 01:17:57
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,434.75",설정액증가,SRI,2025-08-15,2025-08-15 01:17:57
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"2,071.53",설정액증가,SRI,2025-08-15,2025-08-15 01:17:57
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,675.34,설정액증가,SRI,2025-08-15,2025-08-15 01:17:57
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,520.61,설정액증가,SRI,2025-08-15,2025-08-15 01:17:57
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,400.56,설정액증가,SRI,2025-08-15,2025-08-15 01:17:57
1,한화그린히어로증권자투자신탁(주식)J-Pe(연금저축),K55213DB6079,11.57%,수익률,ESG_주식,2025-08-15,2025-08-15 01:17:57
2,한화그린히어로증권자투자신탁(주식)J-e,K55213DB6061,11.56%,수익률,ESG_주식,2025-08-15,2025-08-15 01:17:57
3,한화그린히어로증권자투자신탁(주식)S-RP(퇴직연금),K55213DB6038,11.56%,수익률,ESG_주식,2025-08-15,2025-08-15 01:17:57
4,한화그린히어로증권자투자신탁(주식)S-P(연금저축),K55213DB6020,11.55%,수익률,ESG_주식,2025-08-15,2025-08-15 01:17:57
5,한화그린히어로증권자투자신탁(주식)C-RPe(퇴직연금),K55213DB6004,11.55%,수익률,ESG_주식,2025-08-15,2025-08-15 01:17:57
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,100.12,설정액증가,ESG_주식,2025-08-15,2025-08-15 01:17:57
2,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,60.53,설정액증가,ESG_주식,2025-08-15,2025-08-15 01:17:57
3,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A클래스,K55363DD7875,51.98,설정액증가,ESG_주식,2025-08-15,2025-08-15 01:17:57
4,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,41.60,설정액증가,ESG_주식,2025-08-15,2025-08-15 01:17:57
5,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,40.18,설정액증가,ESG_주식,2025-08-15,2025-08-15 01:17:57
1,삼성KODEX아시아달러채권ESG플러스액티브증권상장지수투자신탁[채권],K55105DR4770,1.54%,수익률,ESG_채권,2025-08-15,2025-08-15 01:17:57
2,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97347,1.24%,수익률,ESG_채권,2025-08-15,2025-08-15 01:17:57
3,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P,K55232BJ3861,1.24%,수익률,ESG_채권,2025-08-15,2025-08-15 01:17:57
4,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS,K55232BJ3853,1.24%,수익률,ESG_채권,2025-08-15,2025-08-15 01:17:57
5,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassC-P2e(퇴직연금),K55232BX7211,1.23%,수익률,ESG_채권,2025-08-15,2025-08-15 01:17:57
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,434.75",설정액증가,ESG_채권,2025-08-15,2025-08-15 01:17:57
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"2,071.53",설정액증가,ESG_채권,2025-08-15,2025-08-15 01:17:57
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,675.34,설정액증가,ESG_채권,2025-08-15,2025-08-15 01:17:57
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,520.61,설정액증가,ESG_채권,2025-08-15,2025-08-15 01:17:57
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,400.56,설정액증가,ESG_채권,2025-08-15,2025-08-15 01:17:57
