rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,iM에셋월드금융주증권투자신탁(주식-재간접형)(S-P),K55366C87635,8.00%,수익률,SRI,2025-12-19,2025-12-19 01:18:36
2,iM에셋월드금융주증권투자신탁(주식-재간접형)(S),K55366C87601,7.99%,수익률,SRI,2025-12-19,2025-12-19 01:18:36
3,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Rpe),K55366C87593,7.99%,수익률,SRI,2025-12-19,2025-12-19 01:18:36
4,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Pe),K55366C87577,7.99%,수익률,SRI,2025-12-19,2025-12-19 01:18:36
5,iM에셋월드금융주증권투자신탁(주식-재간접형)(A-e),K55366C87460,7.98%,수익률,SRI,2025-12-19,2025-12-19 01:18:36
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,165.61,설정액증가,SRI,2025-12-19,2025-12-19 01:18:36
2,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,40.00,설정액증가,SRI,2025-12-19,2025-12-19 01:18:36
3,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,21.61,설정액증가,SRI,2025-12-19,2025-12-19 01:18:36
4,다올ESG1등단기채권증권자투자신탁[채권]종류CF,K55306CZ2509,21.37,설정액증가,SRI,2025-12-19,2025-12-19 01:18:36
5,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,20.00,설정액증가,SRI,2025-12-19,2025-12-19 01:18:36
1,iM에셋월드금융주증권투자신탁(주식-재간접형)(S-P),K55366C87635,8.00%,수익률,ESG_주식,2025-12-19,2025-12-19 01:18:36
2,iM에셋월드금융주증권투자신탁(주식-재간접형)(S),K55366C87601,7.99%,수익률,ESG_주식,2025-12-19,2025-12-19 01:18:36
3,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Rpe),K55366C87593,7.99%,수익률,ESG_주식,2025-12-19,2025-12-19 01:18:36
4,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Pe),K55366C87577,7.99%,수익률,ESG_주식,2025-12-19,2025-12-19 01:18:36
5,iM에셋월드금융주증권투자신탁(주식-재간접형)(A-e),K55366C87460,7.98%,수익률,ESG_주식,2025-12-19,2025-12-19 01:18:36
1,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,40.00,설정액증가,ESG_주식,2025-12-19,2025-12-19 01:18:36
2,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,21.61,설정액증가,ESG_주식,2025-12-19,2025-12-19 01:18:36
3,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,18.58,설정액증가,ESG_주식,2025-12-19,2025-12-19 01:18:36
4,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,15.51,설정액증가,ESG_주식,2025-12-19,2025-12-19 01:18:36
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,11.35,설정액증가,ESG_주식,2025-12-19,2025-12-19 01:18:36
1,한국투자중기우량채증권자투자신탁(채권)(S-P),K55101CU3632,2.21%,수익률,ESG_채권,2025-12-19,2025-12-19 01:18:36
2,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS-P,K55302CE8422,1.71%,수익률,ESG_채권,2025-12-19,2025-12-19 01:18:36
3,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS,K55302CE8414,1.70%,수익률,ESG_채권,2025-12-19,2025-12-19 01:18:36
4,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassC-P2e,K55302CE8406,1.70%,수익률,ESG_채권,2025-12-19,2025-12-19 01:18:36
5,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassC-Pe,K55302CE8380,1.70%,수익률,ESG_채권,2025-12-19,2025-12-19 01:18:36
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,165.61,설정액증가,ESG_채권,2025-12-19,2025-12-19 01:18:36
2,다올ESG1등단기채권증권자투자신탁[채권]종류CF,K55306CZ2509,21.37,설정액증가,ESG_채권,2025-12-19,2025-12-19 01:18:36
3,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,20.00,설정액증가,ESG_채권,2025-12-19,2025-12-19 01:18:36
4,브이아이ESG굿초이스증권자투자신탁 1[채권]C-E,K55104BW3851,5.95,설정액증가,ESG_채권,2025-12-19,2025-12-19 01:18:36
5,한화코리아밸류채권증권자투자신탁(채권)종류Cw,KR5103923508,3.41,설정액증가,ESG_채권,2025-12-19,2025-12-19 01:18:36
