date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.11.26,81565.0526216,0.0,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.27,81411.84496464,0.5195,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.28,80902.86159706,0.5893,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.01,80514.63677578,0.41,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.02,80411.96038058,0.325,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.03,80143.00891339,0.6276,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.04,79404.32194135,0.821,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.05,78965.51479907,0.8382,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.08,78451.58106443,1.2533,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.09,78034.31287474,1.4442,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.10,77821.69807631,1.2799,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.11,77544.57425162,1.2315,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.12,77196.45076142,1.1465,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.15,76711.00774537,1.4548,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.16,76550.79582218,1.0639,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.17,76027.85068572,0.6357,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.18,75358.90669262,0.9072,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.19,74379.62306235,0.571,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.22,73992.05292653,0.7251,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.23,73693.39149294,1.2502,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.24,73457.06425832,1.3789,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.26,72974.46342917,1.305,SRI,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.26,10518.22956965,0.0,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.27,10527.73447768,2.131,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.28,10530.87397406,3.0457,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.01,10525.65253132,2.0258,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.02,10524.08485914,1.9308,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.03,10525.03577427,3.2418,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.04,10519.79575077,4.1506,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.05,10506.40916346,4.0316,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.08,10500.07849967,5.558,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.09,10491.96051271,6.5829,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.10,10490.44751084,6.182,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.11,10474.18202516,6.149,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.12,10440.95857799,5.6933,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.15,10449.68951954,6.7799,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.16,10442.98037415,4.7124,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.17,10441.04589661,2.8974,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.18,10445.85658918,3.9726,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.19,10453.04902082,2.4541,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.22,10444.14014426,3.1917,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.23,10442.12747758,5.1716,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.24,10443.43048699,5.5157,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.26,10433.87075219,5.1356,ESG_주식,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.26,67882.25538946,0.0,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.27,67711.96267389,0.0307,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.11.28,67200.95401907,-0.1734,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.01,66817.91132251,-0.1035,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.02,66716.99636358,-0.1969,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.03,66449.15565523,-0.1785,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.04,65715.9810056,-0.2023,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.05,65291.18495016,-0.1549,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.08,64784.2633835,-0.0732,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.09,64378.11709259,-0.1422,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
2025.12.10,64166.779404,-0.2312,ESG_채권,2025-12-26,2025-12-26 01:18:39,01,1개월
