rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,17.89%,수익률,SRI,2025-07-11,2025-07-11 01:19:06
2,KBESG성장리더스증권자투자신탁(주식)S-퇴직,K55223DI2681,13.82%,수익률,SRI,2025-07-11,2025-07-11 01:19:06
3,KBESG성장리더스증권자투자신탁(주식)C-W,K55223C56831,13.80%,수익률,SRI,2025-07-11,2025-07-11 01:19:06
4,KBESG성장리더스증권자투자신탁(주식)S-P,K55223C56856,13.77%,수익률,SRI,2025-07-11,2025-07-11 01:19:06
5,KBESG성장리더스증권자투자신탁(주식)S,K55223C56849,13.77%,수익률,SRI,2025-07-11,2025-07-11 01:19:06
1,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,214.34,설정액증가,SRI,2025-07-11,2025-07-11 01:19:06
2,한화코리아밸류채권증권자투자신탁(채권)Ci-RP(퇴직연금),K55213E38984,192.42,설정액증가,SRI,2025-07-11,2025-07-11 01:19:06
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,192.23,설정액증가,SRI,2025-07-11,2025-07-11 01:19:06
4,유진챔피언중단기채증권자투자신탁(채권)ClassC-E,K55214CD4742,178.30,설정액증가,SRI,2025-07-11,2025-07-11 01:19:06
5,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,150.00,설정액증가,SRI,2025-07-11,2025-07-11 01:19:06
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,17.89%,수익률,ESG_주식,2025-07-11,2025-07-11 01:19:06
2,KBESG성장리더스증권자투자신탁(주식)S-퇴직,K55223DI2681,13.82%,수익률,ESG_주식,2025-07-11,2025-07-11 01:19:06
3,KBESG성장리더스증권자투자신탁(주식)C-W,K55223C56831,13.80%,수익률,ESG_주식,2025-07-11,2025-07-11 01:19:06
4,KBESG성장리더스증권자투자신탁(주식)S-P,K55223C56856,13.77%,수익률,ESG_주식,2025-07-11,2025-07-11 01:19:06
5,KBESG성장리더스증권자투자신탁(주식)S,K55223C56849,13.77%,수익률,ESG_주식,2025-07-11,2025-07-11 01:19:06
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,107.13,설정액증가,ESG_주식,2025-07-11,2025-07-11 01:19:06
2,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,81.96,설정액증가,ESG_주식,2025-07-11,2025-07-11 01:19:06
3,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A클래스,K55363DD7875,50.70,설정액증가,ESG_주식,2025-07-11,2025-07-11 01:19:06
4,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp2-E클래스,K55363DD7982,49.89,설정액증가,ESG_주식,2025-07-11,2025-07-11 01:19:06
5,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,36.16,설정액증가,ESG_주식,2025-07-11,2025-07-11 01:19:06
1,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97347,1.78%,수익률,ESG_채권,2025-07-11,2025-07-11 01:19:06
2,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P,K55232BJ3861,1.77%,수익률,ESG_채권,2025-07-11,2025-07-11 01:19:06
3,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS,K55232BJ3853,1.77%,수익률,ESG_채권,2025-07-11,2025-07-11 01:19:06
4,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassC-P2e(퇴직연금),K55232BX7211,1.77%,수익률,ESG_채권,2025-07-11,2025-07-11 01:19:06
5,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassAe,K55232BJ3788,1.77%,수익률,ESG_채권,2025-07-11,2025-07-11 01:19:06
1,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,214.34,설정액증가,ESG_채권,2025-07-11,2025-07-11 01:19:06
2,한화코리아밸류채권증권자투자신탁(채권)Ci-RP(퇴직연금),K55213E38984,192.42,설정액증가,ESG_채권,2025-07-11,2025-07-11 01:19:06
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,192.23,설정액증가,ESG_채권,2025-07-11,2025-07-11 01:19:06
4,유진챔피언중단기채증권자투자신탁(채권)ClassC-E,K55214CD4742,178.30,설정액증가,ESG_채권,2025-07-11,2025-07-11 01:19:06
5,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,150.00,설정액증가,ESG_채권,2025-07-11,2025-07-11 01:19:06
