date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.09.30,93316.12806678,0.0,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.01,92252.63223019,0.0245,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.02,91999.57227281,0.1751,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.10,93726.34170774,0.6678,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.13,93699.21139893,1.0784,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.14,93629.75853777,0.8876,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.15,93231.85278827,0.8885,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.16,92841.52722342,1.2981,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.17,92707.15727725,1.6452,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.20,92754.17375057,1.6921,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.21,92917.03006981,1.9034,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.22,92964.94399702,1.955,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.23,92988.43163452,2.2236,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.24,92961.25897668,2.028,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.27,92838.53144107,2.4701,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.28,92715.68336269,2.906,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.29,92974.6830056,2.8529,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.30,92578.5465299,3.1247,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.31,92324.90271924,3.1153,SRI,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.09.30,11044.14514519,0.0,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.01,11036.49326701,0.0864,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.02,11018.51436346,0.9365,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.10,10731.72996855,3.1116,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.13,10701.94890219,5.176,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.14,10661.68556158,3.9169,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.15,10668.44656288,3.6362,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.16,10665.06932745,5.7221,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.17,10654.10515366,7.8355,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.20,10623.09202807,7.6546,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.21,10600.68721851,9.0558,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.22,10574.85141204,9.3354,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.23,10555.33507415,10.4748,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.24,10558.10055527,9.6917,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.27,10545.01858968,11.9156,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.28,10535.99970809,14.5292,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.29,10496.25920868,14.1363,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.30,10523.21237902,15.908,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
2025.10.31,10523.9978787,16.4565,ESG_주식,2025-10-31,2025-10-31 01:14:30,01,1개월
