date,setup_amount,return_rate,tab_type,method,collection_time
2025.08.05,79817.77783658,0.0,SRI,JavaScript,2025-09-05 01:09:23
2025.08.06,80026.30521688,0.3826,SRI,JavaScript,2025-09-05 01:09:23
2025.08.07,80668.36858585,0.406,SRI,JavaScript,2025-09-05 01:09:23
2025.08.08,81985.18420991,0.5406,SRI,JavaScript,2025-09-05 01:09:23
2025.08.11,82328.11939344,0.5065,SRI,JavaScript,2025-09-05 01:09:23
2025.08.12,82611.49764931,0.4899,SRI,JavaScript,2025-09-05 01:09:23
2025.08.13,83125.23656216,0.3951,SRI,JavaScript,2025-09-05 01:09:23
2025.08.14,83502.15878165,0.6063,SRI,JavaScript,2025-09-05 01:09:23
2025.08.18,84494.21881147,0.6887,SRI,JavaScript,2025-09-05 01:09:23
2025.08.19,85036.84679151,0.3762,SRI,JavaScript,2025-09-05 01:09:23
2025.08.20,86149.99683272,0.2757,SRI,JavaScript,2025-09-05 01:09:23
2025.08.21,86545.51172762,0.1559,SRI,JavaScript,2025-09-05 01:09:23
2025.08.22,87164.95776845,0.1921,SRI,JavaScript,2025-09-05 01:09:23
2025.08.25,87556.25598994,0.2946,SRI,JavaScript,2025-09-05 01:09:23
2025.08.26,87771.82882493,0.6197,SRI,JavaScript,2025-09-05 01:09:23
2025.08.27,87999.43884214,0.5389,SRI,JavaScript,2025-09-05 01:09:23
2025.08.28,88194.21978354,0.6259,SRI,JavaScript,2025-09-05 01:09:23
2025.08.29,88890.69018827,0.6529,SRI,JavaScript,2025-09-05 01:09:23
2025.09.01,89217.36491804,0.6643,SRI,JavaScript,2025-09-05 01:09:23
2025.09.02,89313.93275607,0.4087,SRI,JavaScript,2025-09-05 01:09:23
2025.09.03,90271.25911641,0.5284,SRI,JavaScript,2025-09-05 01:09:23
2025.09.04,90625.57101757,0.5146,SRI,JavaScript,2025-09-05 01:09:23
2025.09.05,90409.62727339,0.6374,SRI,JavaScript,2025-09-05 01:09:23
2025.08.05,,,SRI,OCR,2025-09-05 01:09:23
2025.08.13,,,SRI,OCR,2025-09-05 01:09:23
2025.08.22,,,SRI,OCR,2025-09-05 01:09:23
2025.09.01,,,SRI,OCR,2025-09-05 01:09:23
2025.08.05,11516.91549515,0.0,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.06,11517.31264153,1.6431,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.07,11540.38419998,1.7533,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.08,11506.51313228,2.2718,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.11,11507.8767822,2.0235,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.12,11512.42841897,1.9817,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.13,11500.04989043,1.5691,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.14,11492.3306669,2.4483,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.18,11486.1624494,2.5331,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.19,11518.03463062,1.2339,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.20,11517.85993255,0.7962,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.21,11522.26163809,0.0955,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.22,11524.52316277,0.2294,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.25,11514.81095734,0.8209,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.26,11499.62071688,2.1814,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.27,11484.1768409,1.6729,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.28,11482.49220049,1.9581,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.29,11474.07534053,2.1136,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.09.01,11459.02813379,2.0895,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.09.02,11447.56373479,0.8227,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.09.03,11443.8346105,1.527,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.09.04,11457.43770984,1.6678,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.09.05,11445.76114428,2.1507,ESG_주식,JavaScript,2025-09-05 01:09:23
2025.08.05,,,ESG_주식,OCR,2025-09-05 01:09:23
2025.08.13,,,ESG_주식,OCR,2025-09-05 01:09:23
2025.08.22,,,ESG_주식,OCR,2025-09-05 01:09:23
2025.09.01,,,ESG_주식,OCR,2025-09-05 01:09:23
2025.08.05,65155.04887763,0.0,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.06,65323.22872762,0.0202,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.07,65941.69932373,0.0211,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.08,67292.48768784,0.0531,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.11,67635.05597307,0.0657,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.12,67916.32039952,0.0525,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.13,68444.11055186,0.0432,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.14,68829.24242658,0.0724,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.18,69827.29854401,0.1444,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.19,70339.34721384,0.0886,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.20,71453.26169401,0.0737,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.21,71838.05680584,0.1007,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.22,72455.87754181,0.114,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.25,72857.0321949,0.1046,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.26,73080.45810308,0.1566,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.27,73323.12016483,0.1844,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.28,73518.21240795,0.2209,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.08.29,74223.0888856,0.2188,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.09.01,74566.47807359,0.2338,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.09.02,74674.76886593,0.2286,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.09.03,75636.06172575,0.2103,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.09.04,75976.37316535,0.1735,ESG_채권,JavaScript,2025-09-05 01:09:23
2025.09.05,75771.9907317,0.2084,ESG_채권,JavaScript,2025-09-05 01:09:23
