date,setup_amount,return_rate,tab_type,method,collection_time
2025.10.21,92917.03006981,0.0,SRI,JavaScript,2025-11-21 01:13:36
2025.10.22,92964.94399702,0.0507,SRI,JavaScript,2025-11-21 01:13:36
2025.10.23,92988.43163452,0.3142,SRI,JavaScript,2025-11-21 01:13:36
2025.10.24,92961.25897668,0.1223,SRI,JavaScript,2025-11-21 01:13:36
2025.10.27,92838.53144107,0.5561,SRI,JavaScript,2025-11-21 01:13:36
2025.10.28,92715.68336269,0.9839,SRI,JavaScript,2025-11-21 01:13:36
2025.10.29,92974.6830056,0.9318,SRI,JavaScript,2025-11-21 01:13:36
2025.10.30,92578.5465299,1.1985,SRI,JavaScript,2025-11-21 01:13:36
2025.10.31,92324.90271924,1.1893,SRI,JavaScript,2025-11-21 01:13:36
2025.11.03,91496.46418714,1.2442,SRI,JavaScript,2025-11-21 01:13:36
2025.11.04,93782.32112591,1.7614,SRI,JavaScript,2025-11-21 01:13:36
2025.11.05,93678.89738932,1.4002,SRI,JavaScript,2025-11-21 01:13:36
2025.11.06,92638.91617152,0.7627,SRI,JavaScript,2025-11-21 01:13:36
2025.11.07,91985.40839194,0.7909,SRI,JavaScript,2025-11-21 01:13:36
2025.11.10,90527.91905665,0.3687,SRI,JavaScript,2025-11-21 01:13:36
2025.11.11,89234.38298352,0.8502,SRI,JavaScript,2025-11-21 01:13:36
2025.11.12,88586.56931122,1.1439,SRI,JavaScript,2025-11-21 01:13:36
2025.11.13,86987.77225424,1.1879,SRI,JavaScript,2025-11-21 01:13:36
2025.11.14,86125.52013984,1.2651,SRI,JavaScript,2025-11-21 01:13:36
2025.11.17,85492.68238877,0.354,SRI,JavaScript,2025-11-21 01:13:36
2025.11.18,84574.08913931,0.7766,SRI,JavaScript,2025-11-21 01:13:36
2025.11.19,83330.03602985,0.1989,SRI,JavaScript,2025-11-21 01:13:36
2025.11.20,82600.33176148,0.0107,SRI,JavaScript,2025-11-21 01:13:36
2025.11.21,82115.61100302,0.3554,SRI,JavaScript,2025-11-21 01:13:36
