rank,fund_name,fund_code,growth_amount,tab_type,collection_date,collection_time
1,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp2-E클래스,K55363DD7982,13.23,ESG_주식,2025-06-14,2025-06-14 02:07:45
2,마이다스책임투자증권투자신탁(주식)C-P1,K55303BA2239,8.92,ESG_주식,2025-06-14,2025-06-14 02:07:45
3,마이다스책임투자증권투자신탁(주식)C-Pe2,K55303BT4143,7.15,ESG_주식,2025-06-14,2025-06-14 02:07:45
4,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A클래스,K55363DD7875,6.41,ESG_주식,2025-06-14,2025-06-14 02:07:45
5,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Ce클래스,K55363DD7909,5.29,ESG_주식,2025-06-14,2025-06-14 02:07:45
