date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.06.18,77107.19218806,0.0,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.19,77022.200739,0.0624,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.20,76922.80403739,0.1265,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.23,76863.28621973,0.3351,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.24,76789.06389839,0.3181,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.25,76147.86962064,0.8435,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.26,75431.73504162,0.9612,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.27,74814.94739577,0.8388,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.30,74660.0826098,0.8197,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.01,74000.19776076,0.9697,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.02,74027.25828344,1.0986,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.03,74460.96626376,0.9485,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.04,74519.88212642,1.2267,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.07,74605.85854372,0.8675,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.08,74547.93874193,0.9399,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.09,74524.35659093,1.2781,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.10,74616.18288088,1.3813,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.11,74827.69888321,1.7522,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.14,74819.85586799,1.7132,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.15,74722.47957638,1.8397,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.16,75197.93107012,1.9847,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.17,75862.1100535,1.8583,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.18,76108.43495539,1.8593,SRI,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.18,12061.5161475,0.0,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.19,11988.84366177,0.3337,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.20,11838.50155464,0.5787,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.23,11790.84510515,1.4043,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.24,11750.15903037,1.4188,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.25,11683.93912449,3.5906,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.26,11626.30306046,3.9645,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.27,11554.66219367,3.2706,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.30,11560.29221687,3.0133,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.01,11586.35537086,3.6525,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.02,11601.9253172,4.0009,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.03,11603.66550845,3.5018,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.04,11594.50641597,4.5027,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.07,11564.3714726,2.9409,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.08,11581.02008887,3.22,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.09,11589.69506324,4.7822,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.10,11488.78467435,5.1608,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.11,11462.28562478,6.5372,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.14,11433.87952958,6.3033,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.15,11410.49325367,7.0893,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.16,11425.80146804,7.6658,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.17,11448.33075389,7.0641,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.18,11470.48492413,7.1259,ESG_주식,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.18,62066.80848449,0.0,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.19,62055.1658826,-0.017,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.20,62108.2070738,-0.0128,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.23,62097.04144662,0.035,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.24,62077.8617556,0.0028,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.25,61502.78978945,0.0684,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.26,60843.7760153,0.0901,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.27,60314.62303832,0.1332,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.06.30,60177.16608433,0.1681,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.01,59493.05751433,0.1767,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.02,59505.32919218,0.2289,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.03,59936.66279615,0.1758,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.04,60003.1325201,0.2441,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.07,60119.92538034,0.2107,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.08,60044.7001615,0.2205,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.09,60012.43803073,0.2259,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.10,60206.26656034,0.2497,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.11,60445.40081274,0.3383,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.14,60482.08364667,0.3432,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.15,60408.24836454,0.2914,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.16,60867.7773518,0.3161,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.17,61508.9486719,0.3226,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
2025.07.18,61732.98957955,0.3003,ESG_채권,2025-07-18,2025-07-18 01:20:03,01,1개월
