date,setup_amount,return_rate,tab_type,method,collection_time
2025.03.13,65803.99912764,0.0,SRI,JavaScript,2025-06-15 00:26:57
2025.03.14,65966.986965,0.0605,SRI,JavaScript,2025-06-15 00:26:57
2025.03.17,66144.1668445,0.039,SRI,JavaScript,2025-06-15 00:26:57
2025.03.18,66570.46937321,0.5315,SRI,JavaScript,2025-06-15 00:26:57
2025.03.19,67461.86963671,0.634,SRI,JavaScript,2025-06-15 00:26:57
2025.03.20,67619.13063082,0.7159,SRI,JavaScript,2025-06-15 00:26:57
2025.03.21,67686.13599354,0.868,SRI,JavaScript,2025-06-15 00:26:57
2025.03.24,67960.83839445,0.97,SRI,JavaScript,2025-06-15 00:26:57
2025.03.25,68118.8338873,0.8527,SRI,JavaScript,2025-06-15 00:26:57
2025.03.26,68248.13032857,0.7597,SRI,JavaScript,2025-06-15 00:26:57
2025.03.27,68302.97028174,0.9728,SRI,JavaScript,2025-06-15 00:26:57
2025.03.28,68194.58649182,0.5695,SRI,JavaScript,2025-06-15 00:26:57
2025.03.31,68004.39655836,0.2141,SRI,JavaScript,2025-06-15 00:26:57
2025.04.01,66638.14545042,-0.3534,SRI,JavaScript,2025-06-15 00:26:57
2025.04.02,66970.98668383,-0.007,SRI,JavaScript,2025-06-15 00:26:57
2025.04.03,67715.21808658,-0.0534,SRI,JavaScript,2025-06-15 00:26:57
2025.04.04,67938.90324626,-0.1335,SRI,JavaScript,2025-06-15 00:26:57
2025.04.07,68376.07531875,-0.5102,SRI,JavaScript,2025-06-15 00:26:57
2025.04.08,68608.14625712,-1.8359,SRI,JavaScript,2025-06-15 00:26:57
2025.04.09,68792.28152148,-1.9626,SRI,JavaScript,2025-06-15 00:26:57
2025.04.10,69365.78220738,-2.3196,SRI,JavaScript,2025-06-15 00:26:57
2025.04.11,69618.75043344,-0.9267,SRI,JavaScript,2025-06-15 00:26:57
2025.04.14,69880.20655502,-0.9801,SRI,JavaScript,2025-06-15 00:26:57
2025.04.15,70266.97055115,-0.7955,SRI,JavaScript,2025-06-15 00:26:57
2025.04.16,70373.27752044,-0.4848,SRI,JavaScript,2025-06-15 00:26:57
2025.04.17,70683.20180527,-0.6235,SRI,JavaScript,2025-06-15 00:26:57
2025.04.18,70799.97812514,-0.5532,SRI,JavaScript,2025-06-15 00:26:57
2025.04.21,71464.32389887,-0.3822,SRI,JavaScript,2025-06-15 00:26:57
2025.04.22,71793.97354173,-0.3204,SRI,JavaScript,2025-06-15 00:26:57
2025.04.23,72060.70557491,-0.4302,SRI,JavaScript,2025-06-15 00:26:57
2025.04.24,72350.28858816,-0.0845,SRI,JavaScript,2025-06-15 00:26:57
2025.04.25,72636.27712025,0.0543,SRI,JavaScript,2025-06-15 00:26:57
2025.04.28,72864.26363122,0.4036,SRI,JavaScript,2025-06-15 00:26:57
2025.04.29,72887.12218324,0.4928,SRI,JavaScript,2025-06-15 00:26:57
2025.04.30,73203.77217126,0.6804,SRI,JavaScript,2025-06-15 00:26:57
2025.05.02,73033.54685878,0.6711,SRI,JavaScript,2025-06-15 00:26:57
2025.05.07,73390.02787303,0.7337,SRI,JavaScript,2025-06-15 00:26:57
2025.05.08,73712.84950262,0.9081,SRI,JavaScript,2025-06-15 00:26:57
2025.05.09,73984.5925747,0.9694,SRI,JavaScript,2025-06-15 00:26:57
2025.05.12,72788.4898412,0.9733,SRI,JavaScript,2025-06-15 00:26:57
2025.05.13,73052.52479913,1.1986,SRI,JavaScript,2025-06-15 00:26:57
2025.05.14,73287.98804469,1.3484,SRI,JavaScript,2025-06-15 00:26:57
2025.05.15,73674.75064264,1.7134,SRI,JavaScript,2025-06-15 00:26:57
2025.05.16,74127.53608313,1.5287,SRI,JavaScript,2025-06-15 00:26:57
2025.05.19,73935.03610794,1.7003,SRI,JavaScript,2025-06-15 00:26:57
2025.05.20,74288.92281327,1.5157,SRI,JavaScript,2025-06-15 00:26:57
2025.05.21,74578.53476856,1.5767,SRI,JavaScript,2025-06-15 00:26:57
2025.05.22,74595.8770425,1.7558,SRI,JavaScript,2025-06-15 00:26:57
2025.05.23,74965.29320197,1.4373,SRI,JavaScript,2025-06-15 00:26:57
2025.05.26,75036.58161447,1.4523,SRI,JavaScript,2025-06-15 00:26:57
2025.05.27,75326.64156364,1.7889,SRI,JavaScript,2025-06-15 00:26:57
2025.05.28,75700.24208004,1.8444,SRI,JavaScript,2025-06-15 00:26:57
2025.05.29,75967.86777502,2.1357,SRI,JavaScript,2025-06-15 00:26:57
2025.05.30,76257.6879189,2.4682,SRI,JavaScript,2025-06-15 00:26:57
2025.06.02,76602.87535543,2.3759,SRI,JavaScript,2025-06-15 00:26:57
2025.06.04,76826.0234727,2.3678,SRI,JavaScript,2025-06-15 00:26:57
2025.06.05,77190.58944497,2.8683,SRI,JavaScript,2025-06-15 00:26:57
2025.06.09,77494.6102274,3.207,SRI,JavaScript,2025-06-15 00:26:57
2025.06.10,77517.74426001,3.5569,SRI,JavaScript,2025-06-15 00:26:57
2025.06.11,77382.25609651,3.7219,SRI,JavaScript,2025-06-15 00:26:57
2025.06.12,76861.80497656,4.0173,SRI,JavaScript,2025-06-15 00:26:57
2025.06.13,76794.76873465,4.0277,SRI,JavaScript,2025-06-15 00:26:57
2025.03.13,,,SRI,OCR,2025-06-15 00:26:57
2025.04.04,,,SRI,OCR,2025-06-15 00:26:57
2025.04.28,,,SRI,OCR,2025-06-15 00:26:57
2025.05.23,,,SRI,OCR,2025-06-15 00:26:57
2025.03.13,10080.42122996,0.0,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.14,10069.33426199,0.2571,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.17,10067.44586133,0.2224,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.18,10066.18270046,2.0279,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.19,10101.21687663,2.2831,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.20,10096.44273544,2.6628,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.21,10092.22702724,3.0274,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.24,10081.61670647,3.3452,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.25,10084.71224241,2.8953,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.26,10071.09706103,2.473,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.27,10085.9627402,3.3522,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.28,10079.45763138,1.9039,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.31,10072.68144172,0.4404,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.01,10059.75304518,-2.018,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.02,10056.22067039,-0.6455,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.03,10057.60561907,-0.9503,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.04,10057.58263252,-1.5977,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.07,10056.08974292,-3.1392,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.08,10056.90873559,-8.4091,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.09,10057.00884287,-8.5141,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.10,10069.63186518,-9.7129,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.11,10069.00040742,-4.4684,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.14,10071.21494488,-4.6962,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.15,10088.72698854,-3.8831,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.16,10089.47078696,-2.9403,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.17,10090.15379983,-3.8481,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.18,10090.00365949,-3.3295,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.21,10090.56124022,-2.8776,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.22,10114.0766153,-2.7322,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.23,10116.06542003,-3.0221,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.24,10111.09414511,-1.7617,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.25,10111.11308582,-1.4044,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.28,10109.92598151,-0.4007,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.29,10110.10401709,-0.2117,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.04.30,10109.27577258,0.4749,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.02,10149.53970814,0.2493,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.07,10147.68383716,0.6007,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.08,10157.21954627,1.1879,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.09,10146.73082332,1.4606,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.12,10151.54186886,1.594,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.13,10146.78702697,2.4165,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.14,10138.1983504,2.979,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.15,10139.22076158,4.1732,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.16,10137.0513083,3.521,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.19,10130.8757236,3.9395,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.20,10126.87081508,3.2865,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.21,10129.48511772,3.3343,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.22,10126.90604958,4.1561,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.23,10119.98609311,2.8824,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.26,10116.96763706,2.9441,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.27,10111.47804079,4.4368,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.28,10108.603725,4.4901,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.29,10114.56290218,5.4651,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.05.30,10086.62884893,7.0041,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.02,10081.58548107,6.3679,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.04,10046.00996101,6.3364,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.05,10034.85759841,8.7676,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.09,10023.77797223,10.0865,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.10,9959.74474887,11.6306,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.11,9870.19947478,12.2757,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.12,9511.4135928,13.5976,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.06.13,9324.51467484,13.616,ESG_주식,JavaScript,2025-06-15 00:26:57
2025.03.13,,,ESG_주식,OCR,2025-06-15 00:26:57
2025.04.04,,,ESG_주식,OCR,2025-06-15 00:26:57
2025.04.28,,,ESG_주식,OCR,2025-06-15 00:26:57
2025.05.23,,,ESG_주식,OCR,2025-06-15 00:26:57
2025.03.13,42789.44338988,0.0,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.14,42954.53984644,-0.0231,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.17,43077.47897151,-0.0186,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.18,43395.24177477,-0.0256,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.19,44240.20730487,-0.0123,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.20,44403.49129034,-0.0221,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.21,44482.19150386,0.0257,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.24,44765.5532749,0.0525,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.25,44890.84471484,0.0452,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.26,45035.42260385,0.0296,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.27,45037.77990738,0.0194,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.28,44774.06781141,0.018,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.31,44604.19114425,0.0666,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.01,43237.86773659,0.2133,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.02,43579.20322786,0.2008,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.03,44232.08699758,0.2242,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.04,44450.13462741,0.3246,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.07,44889.71358996,0.4682,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.08,45116.70333523,0.6002,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.09,45286.6293068,0.523,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.10,45795.86308945,0.4595,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.11,46056.74133864,0.4543,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.14,46313.85962424,0.4955,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.15,46641.82486997,0.4599,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.16,46752.80806394,0.5202,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.17,47051.4491282,0.6277,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.18,47167.79010179,0.5724,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.21,47808.00753052,0.6421,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.22,48099.54584867,0.6832,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.23,48357.13788703,0.6601,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.24,48623.660587,0.6815,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.25,48866.37110912,0.6997,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.28,49121.18961006,0.7991,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.29,49114.49957791,0.8258,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.04.30,49402.34430884,0.8415,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.02,49568.11849437,0.9105,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.07,49965.76285664,0.9027,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.08,50263.27914208,0.9264,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.09,50523.92714734,0.9145,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.12,49544.72341324,0.8681,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.13,49809.4021348,0.8749,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.14,50016.89112215,0.8357,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.15,50277.09975558,0.881,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.16,50704.66486294,0.8553,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.19,50497.74442272,0.9632,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.20,50841.72255698,0.8964,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.21,51011.91299861,0.9581,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.22,51001.19935515,0.9391,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.23,51381.47842335,0.9448,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.26,51443.92518705,0.9739,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.27,51711.76322037,0.9618,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.28,52035.91787683,1.0157,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.29,52260.51825957,1.0709,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.05.30,52489.38269295,1.0399,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.02,52827.11444403,1.1094,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.04,53066.88270036,1.1198,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.05,53407.57201254,1.0243,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.09,53697.92005311,1.0896,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.10,53836.27544951,1.0943,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.11,53790.5235235,1.1076,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.12,53618.46342293,1.0872,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.06.13,53715.4899767,1.106,ESG_채권,JavaScript,2025-06-15 00:26:57
2025.03.13,,,ESG_채권,OCR,2025-06-15 00:26:57
2025.04.04,,,ESG_채권,OCR,2025-06-15 00:26:57
2025.04.28,,,ESG_채권,OCR,2025-06-15 00:26:57
2025.05.23,,,ESG_채권,OCR,2025-06-15 00:26:57
