rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,한국투자ACEESG액티브증권상장지수투자신탁(주식),K55101DI3603,11.83%,수익률,SRI,2025-07-18,2025-07-18 01:20:03
2,삼성KODEX MSCI ESG유니버설증권상장지수투자신탁[주식형],K55105BZ5845,10.70%,수익률,SRI,2025-07-18,2025-07-18 01:20:03
3,미래에셋TIGERMSCIKOREAESG유니버설증권상장지수투자신탁(주식),K55301C21029,10.67%,수익률,SRI,2025-07-18,2025-07-18 01:20:03
4,KB액티브배당증권자투자신탁(주식)S-퇴직,K55223DI2699,10.66%,수익률,SRI,2025-07-18,2025-07-18 01:20:03
5,삼성KODEX 200ESG증권상장지수투자신탁[주식],K55105CX1894,10.36%,수익률,SRI,2025-07-18,2025-07-18 01:20:03
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,207.71,설정액증가,SRI,2025-07-18,2025-07-18 01:20:03
2,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,172.64,설정액증가,SRI,2025-07-18,2025-07-18 01:20:03
3,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,162.35,설정액증가,SRI,2025-07-18,2025-07-18 01:20:03
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,156.68,설정액증가,SRI,2025-07-18,2025-07-18 01:20:03
5,마이다스프레스티지책임투자채권증권투자신탁(채권)C-F,K55303DN6639,153.52,설정액증가,SRI,2025-07-18,2025-07-18 01:20:03
1,한국투자ACEESG액티브증권상장지수투자신탁(주식),K55101DI3603,11.83%,수익률,ESG_주식,2025-07-18,2025-07-18 01:20:03
2,삼성KODEX MSCI ESG유니버설증권상장지수투자신탁[주식형],K55105BZ5845,10.70%,수익률,ESG_주식,2025-07-18,2025-07-18 01:20:03
3,미래에셋TIGERMSCIKOREAESG유니버설증권상장지수투자신탁(주식),K55301C21029,10.67%,수익률,ESG_주식,2025-07-18,2025-07-18 01:20:03
4,KB액티브배당증권자투자신탁(주식)S-퇴직,K55223DI2699,10.66%,수익률,ESG_주식,2025-07-18,2025-07-18 01:20:03
5,삼성KODEX 200ESG증권상장지수투자신탁[주식],K55105CX1894,10.36%,수익률,ESG_주식,2025-07-18,2025-07-18 01:20:03
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,112.19,설정액증가,ESG_주식,2025-07-18,2025-07-18 01:20:03
2,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,89.19,설정액증가,ESG_주식,2025-07-18,2025-07-18 01:20:03
3,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Cp2-E클래스,K55363DD7982,52.56,설정액증가,ESG_주식,2025-07-18,2025-07-18 01:20:03
4,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,51.91,설정액증가,ESG_주식,2025-07-18,2025-07-18 01:20:03
5,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A클래스,K55363DD7875,43.06,설정액증가,ESG_주식,2025-07-18,2025-07-18 01:20:03
1,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,3.22%,수익률,ESG_채권,2025-07-18,2025-07-18 01:20:03
2,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,3.22%,수익률,ESG_채권,2025-07-18,2025-07-18 01:20:03
3,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)Class A,K55302CE8547,3.15%,수익률,ESG_채권,2025-07-18,2025-07-18 01:20:03
4,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS-P,K55302CE8422,3.01%,수익률,ESG_채권,2025-07-18,2025-07-18 01:20:03
5,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS,K55302CE8414,3.01%,수익률,ESG_채권,2025-07-18,2025-07-18 01:20:03
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,207.71,설정액증가,ESG_채권,2025-07-18,2025-07-18 01:20:03
2,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,172.64,설정액증가,ESG_채권,2025-07-18,2025-07-18 01:20:03
3,한화코리아밸류채권증권자투자신탁(채권)종류C,KR5103890194,162.35,설정액증가,ESG_채권,2025-07-18,2025-07-18 01:20:03
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,156.68,설정액증가,ESG_채권,2025-07-18,2025-07-18 01:20:03
5,마이다스프레스티지책임투자채권증권투자신탁(채권)C-F,K55303DN6639,153.52,설정액증가,ESG_채권,2025-07-18,2025-07-18 01:20:03
