date,setup_amount,return_rate,tab_type,method,collection_time
2025.05.20,74012.52410615,0.0,SRI,JavaScript,2025-06-20 01:15:44
2025.05.21,74301.38526296,0.0517,SRI,JavaScript,2025-06-20 01:15:44
2025.05.22,74318.48117368,0.216,SRI,JavaScript,2025-06-20 01:15:44
2025.05.23,74688.43628931,-0.0906,SRI,JavaScript,2025-06-20 01:15:44
2025.05.26,74759.74506672,-0.0924,SRI,JavaScript,2025-06-20 01:15:44
2025.05.27,75049.94809425,0.2043,SRI,JavaScript,2025-06-20 01:15:44
2025.05.28,75424.14779683,0.2645,SRI,JavaScript,2025-06-20 01:15:44
2025.05.29,75692.67793615,0.5504,SRI,JavaScript,2025-06-20 01:15:44
2025.05.30,75983.98116716,0.8514,SRI,JavaScript,2025-06-20 01:15:44
2025.06.02,76329.33842662,0.773,SRI,JavaScript,2025-06-20 01:15:44
2025.06.04,76553.49732399,0.757,SRI,JavaScript,2025-06-20 01:15:44
2025.06.05,76919.12865035,1.215,SRI,JavaScript,2025-06-20 01:15:44
2025.06.09,77223.3122668,1.5321,SRI,JavaScript,2025-06-20 01:15:44
2025.06.10,77246.9313029,1.8529,SRI,JavaScript,2025-06-20 01:15:44
2025.06.11,77111.95502943,2.0074,SRI,JavaScript,2025-06-20 01:15:44
2025.06.12,76593.96380294,2.2897,SRI,JavaScript,2025-06-20 01:15:44
2025.06.13,76529.8893308,2.3047,SRI,JavaScript,2025-06-20 01:15:44
2025.06.16,76646.93476212,2.1793,SRI,JavaScript,2025-06-20 01:15:44
2025.06.17,76824.00439556,2.4722,SRI,JavaScript,2025-06-20 01:15:44
2025.06.18,77131.38543915,2.5719,SRI,JavaScript,2025-06-20 01:15:44
2025.06.19,77046.38058095,2.6357,SRI,JavaScript,2025-06-20 01:15:44
2025.06.20,76324.87738806,2.7024,SRI,JavaScript,2025-06-20 01:15:44
2025.05.20,,,SRI,OCR,2025-06-20 01:15:44
2025.05.28,,,SRI,OCR,2025-06-20 01:15:44
2025.06.09,,,SRI,OCR,2025-06-20 01:15:44
2025.06.17,,,SRI,OCR,2025-06-20 01:15:44
2025.05.20,13164.95750982,0.0,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.21,13163.91534365,0.0386,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.22,13163.70037007,0.8116,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.23,13149.45521479,-0.4404,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.26,13144.89067198,-0.4925,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.27,13134.22930831,0.8723,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.28,13150.7423201,0.9531,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.29,13157.423788,1.9148,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.30,13130.147107,3.3655,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.02,13125.09777303,2.7711,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.04,13091.97425878,2.6854,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.05,13079.70465421,4.9977,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.09,13068.50228515,6.2292,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.10,13004.28515805,7.6403,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.11,12914.16565853,8.2574,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.12,12558.60550466,9.5556,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.13,12375.01353579,9.6218,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.16,12202.1391974,8.9645,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.17,12150.41651185,10.6261,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.18,12061.5161475,10.8476,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.19,11988.84366177,11.2175,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.06.20,11319.0979131,11.5,ESG_주식,JavaScript,2025-06-20 01:15:44
2025.05.20,,,ESG_주식,OCR,2025-06-20 01:15:44
2025.05.28,,,ESG_주식,OCR,2025-06-20 01:15:44
2025.06.09,,,ESG_주식,OCR,2025-06-20 01:15:44
2025.06.17,,,ESG_주식,OCR,2025-06-20 01:15:44
2025.05.20,57826.43440683,0.0,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.21,58116.96987301,0.0576,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.22,58135.02005684,0.042,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.23,58522.23722389,0.0496,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.26,58598.77264264,0.0769,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.27,58899.69140489,0.0658,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.28,59257.16244594,0.1158,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.29,59519.1138712,0.1695,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.30,59837.92291256,0.142,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.02,60194.21921085,0.207,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.04,60450.14354989,0.2178,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.05,60828.28703111,0.1278,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.09,61143.33711076,0.189,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.10,61232.47224283,0.1971,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.11,61187.74203407,0.2094,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.12,61025.47627855,0.1905,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.13,61148.6310611,0.2075,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.16,61440.88055469,0.2033,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.17,61669.88710874,0.1549,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.18,62066.80848449,0.2182,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.19,62055.1658826,0.2012,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.06.20,62005.5699614,0.2054,ESG_채권,JavaScript,2025-06-20 01:15:44
2025.05.20,,,ESG_채권,OCR,2025-06-20 01:15:44
2025.05.28,,,ESG_채권,OCR,2025-06-20 01:15:44
2025.06.09,,,ESG_채권,OCR,2025-06-20 01:15:44
2025.06.17,,,ESG_채권,OCR,2025-06-20 01:15:44
