date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.11.05,93678.89738932,0.0,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.06,92638.91617152,-0.6287,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.07,91985.40839194,-0.6009,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.10,90527.91905665,-1.0173,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.11,89234.38298352,-0.5424,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.12,88586.56931122,-0.2528,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.13,86987.77225424,-0.2094,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.14,86125.52013984,-0.1333,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.17,85492.68238877,-1.0318,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.18,84574.08913931,-0.6151,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.19,83330.03602985,-1.1848,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.20,82600.33176148,-1.3703,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.21,82115.67978777,-1.0304,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.24,82010.4136629,-1.7702,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.25,81965.58029338,-1.8018,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.26,81565.0526216,-1.5788,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.27,81411.84496464,-1.0675,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.28,80902.86159706,-0.9988,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.01,80514.63677578,-1.1753,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.02,80411.96038058,-1.2589,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.03,80143.00891339,-0.9611,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.04,79404.32194135,-0.7707,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.05,78965.51479907,-0.7539,SRI,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.05,10528.25762625,0.0,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.06,10543.3995453,-2.7329,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.07,10531.59759534,-2.0927,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.10,10520.29181444,-3.8346,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.11,10527.97390796,-1.7221,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.12,10545.83051214,-0.7221,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.13,10543.54744046,-0.0854,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.14,10517.28124203,0.3482,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.17,10483.09500871,-3.3037,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.18,10500.90903716,-1.6483,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.19,10499.11953929,-4.2852,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.20,10503.93598873,-5.0311,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.21,10514.98269045,-3.36,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.24,10499.84586806,-6.8455,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.25,10515.01221566,-6.9463,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.26,10518.22956965,-6.142,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.27,10527.73447768,-4.1419,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.28,10530.87397406,-3.2833,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.01,10525.65253132,-4.2406,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.02,10524.08485914,-4.3298,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.03,10525.03577427,-3.0994,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.04,10519.79575077,-2.2463,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.05,10506.40916346,-2.3581,ESG_주식,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.05,79984.4724123,0.0,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.06,78930.62445856,-0.0485,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.07,78288.6642858,-0.1942,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.10,76845.25116894,-0.239,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.11,75544.12016321,-0.2206,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.12,74877.39771325,-0.1536,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.13,73278.83579337,-0.2945,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.14,72443.86885899,-0.3308,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.17,71844.74322907,-0.4,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.18,70910.35091419,-0.3431,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.19,69667.5878195,-0.2733,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.20,68935.3840415,-0.272,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.21,68439.43647537,-0.3431,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.24,68349.43200806,-0.2171,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.25,68275.11625787,-0.2381,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.26,67882.25538946,-0.2139,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.27,67711.96267389,-0.1832,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.11.28,67200.95401907,-0.3869,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.01,66817.91132251,-0.3172,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.02,66716.99636358,-0.4104,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.03,66449.15565523,-0.392,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.04,65715.9810056,-0.4158,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
2025.12.05,65291.18495016,-0.3684,ESG_채권,2025-12-05,2025-12-05 01:16:33,01,1개월
