rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,26.29%,수익률,SRI,2025-11-14,2025-11-14 01:14:30
2,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,19.78%,수익률,SRI,2025-11-14,2025-11-14 01:14:30
3,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassCf,K55232D64511,19.52%,수익률,SRI,2025-11-14,2025-11-14 01:14:30
4,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassA,K55232D64453,19.43%,수익률,SRI,2025-11-14,2025-11-14 01:14:30
5,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassS,K55232D64578,19.43%,수익률,SRI,2025-11-14,2025-11-14 01:14:30
1,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,"1,263.00",설정액증가,SRI,2025-11-14,2025-11-14 01:14:30
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,423.00,설정액증가,SRI,2025-11-14,2025-11-14 01:14:30
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,387.67,설정액증가,SRI,2025-11-14,2025-11-14 01:14:30
4,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,100.00,설정액증가,SRI,2025-11-14,2025-11-14 01:14:30
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,70.20,설정액증가,SRI,2025-11-14,2025-11-14 01:14:30
1,미래에셋TIGERMSCIKOREAESG리더스증권상장지수투자신탁(주식),K55301C21037,26.29%,수익률,ESG_주식,2025-11-14,2025-11-14 01:14:30
2,KBRISEESG사회책임투자증권상장지수투자신탁(주식),K55223C37088,19.78%,수익률,ESG_주식,2025-11-14,2025-11-14 01:14:30
3,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassCf,K55232D64511,19.52%,수익률,ESG_주식,2025-11-14,2025-11-14 01:14:30
4,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassA,K55232D64453,19.43%,수익률,ESG_주식,2025-11-14,2025-11-14 01:14:30
5,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassS,K55232D64578,19.43%,수익률,ESG_주식,2025-11-14,2025-11-14 01:14:30
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,70.20,설정액증가,ESG_주식,2025-11-14,2025-11-14 01:14:30
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,50.03,설정액증가,ESG_주식,2025-11-14,2025-11-14 01:14:30
3,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,30.97,설정액증가,ESG_주식,2025-11-14,2025-11-14 01:14:30
4,한화그린히어로증권자투자신탁(주식)C-RPe(퇴직연금),K55213DB6004,23.91,설정액증가,ESG_주식,2025-11-14,2025-11-14 01:14:30
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,23.55,설정액증가,ESG_주식,2025-11-14,2025-11-14 01:14:30
1,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassC-F,K55302CJ6595,3.84%,수익률,ESG_채권,2025-11-14,2025-11-14 01:14:30
2,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassAe,K55302CJ6546,3.81%,수익률,ESG_채권,2025-11-14,2025-11-14 01:14:30
3,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassA,K55302CJ6538,3.79%,수익률,ESG_채권,2025-11-14,2025-11-14 01:14:30
4,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,3.72%,수익률,ESG_채권,2025-11-14,2025-11-14 01:14:30
5,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,3.72%,수익률,ESG_채권,2025-11-14,2025-11-14 01:14:30
1,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,"1,263.00",설정액증가,ESG_채권,2025-11-14,2025-11-14 01:14:30
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,423.00,설정액증가,ESG_채권,2025-11-14,2025-11-14 01:14:30
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,387.67,설정액증가,ESG_채권,2025-11-14,2025-11-14 01:14:30
4,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,100.00,설정액증가,ESG_채권,2025-11-14,2025-11-14 01:14:30
5,KB스타ESG우량중단기채증권자투자신탁(채권)A-E,K55223DJ9677,64.53,설정액증가,ESG_채권,2025-11-14,2025-11-14 01:14:30
