rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류S,K55230DO6230,5.07%,수익률,SRI,2025-12-12,2025-12-12 01:18:32
2,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류S-P,K55230DO6248,5.06%,수익률,SRI,2025-12-12,2025-12-12 01:18:32
3,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류A-e,K55230DO6172,5.05%,수익률,SRI,2025-12-12,2025-12-12 01:18:32
4,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류C-e,K55230DO6198,5.03%,수익률,SRI,2025-12-12,2025-12-12 01:18:32
5,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류A,K55230DO6164,5.02%,수익률,SRI,2025-12-12,2025-12-12 01:18:32
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,193.13,설정액증가,SRI,2025-12-12,2025-12-12 01:18:32
2,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,30.00,설정액증가,SRI,2025-12-12,2025-12-12 01:18:32
3,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,26.04,설정액증가,SRI,2025-12-12,2025-12-12 01:18:32
4,하나공모주&지배구조증권자투자신탁[채권혼합]ClassC,KR5102AT4651,20.31,설정액증가,SRI,2025-12-12,2025-12-12 01:18:32
5,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,19.88,설정액증가,SRI,2025-12-12,2025-12-12 01:18:32
1,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류S,K55230DO6230,5.07%,수익률,ESG_주식,2025-12-12,2025-12-12 01:18:32
2,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류S-P,K55230DO6248,5.06%,수익률,ESG_주식,2025-12-12,2025-12-12 01:18:32
3,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류A-e,K55230DO6172,5.05%,수익률,ESG_주식,2025-12-12,2025-12-12 01:18:32
4,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류C-e,K55230DO6198,5.03%,수익률,ESG_주식,2025-12-12,2025-12-12 01:18:32
5,슈로더헬스케어이노베이션증권투자신탁(주식-재간접형)종류A,K55230DO6164,5.02%,수익률,ESG_주식,2025-12-12,2025-12-12 01:18:32
1,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,30.00,설정액증가,ESG_주식,2025-12-12,2025-12-12 01:18:32
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,26.04,설정액증가,ESG_주식,2025-12-12,2025-12-12 01:18:32
3,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,19.88,설정액증가,ESG_주식,2025-12-12,2025-12-12 01:18:32
4,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,15.47,설정액증가,ESG_주식,2025-12-12,2025-12-12 01:18:32
5,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,13.42,설정액증가,ESG_주식,2025-12-12,2025-12-12 01:18:32
1,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS-P,K55302CE8422,1.24%,수익률,ESG_채권,2025-12-12,2025-12-12 01:18:32
2,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS,K55302CE8414,1.24%,수익률,ESG_채권,2025-12-12,2025-12-12 01:18:32
3,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassC-P2e,K55302CE8406,1.24%,수익률,ESG_채권,2025-12-12,2025-12-12 01:18:32
4,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassC-Pe,K55302CE8380,1.23%,수익률,ESG_채권,2025-12-12,2025-12-12 01:18:32
5,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassAe,K55302CE8307,1.23%,수익률,ESG_채권,2025-12-12,2025-12-12 01:18:32
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,193.13,설정액증가,ESG_채권,2025-12-12,2025-12-12 01:18:32
2,한화코리아밸류채권증권자투자신탁(채권)종류Cw,KR5103923508,3.63,설정액증가,ESG_채권,2025-12-12,2025-12-12 01:18:32
3,한국투자e단기채ESG증권투자신탁(채권)(C-R),K55101BA9717,1.86,설정액증가,ESG_채권,2025-12-12,2025-12-12 01:18:32
4,유진챔피언중단기채증권자투자신탁(채권)ClassC-W,K55214CD4783,1.38,설정액증가,ESG_채권,2025-12-12,2025-12-12 01:18:32
5,브이아이ESG굿초이스증권자투자신탁 1[채권]C-E,K55104BW3851,1.27,설정액증가,ESG_채권,2025-12-12,2025-12-12 01:18:32
