date,setup_amount,return_rate,tab_type,method,collection_time
2025.11.12,88586.56931122,0.0,SRI,JavaScript,2025-12-12 01:18:32
2025.11.13,86987.77225424,0.0435,SRI,JavaScript,2025-12-12 01:18:32
2025.11.14,86125.52013984,0.1198,SRI,JavaScript,2025-12-12 01:18:32
2025.11.17,85492.68238877,-0.781,SRI,JavaScript,2025-12-12 01:18:32
2025.11.18,84574.08913931,-0.3632,SRI,JavaScript,2025-12-12 01:18:32
2025.11.19,83330.03602985,-0.9343,SRI,JavaScript,2025-12-12 01:18:32
2025.11.20,82600.33176148,-1.1203,SRI,JavaScript,2025-12-12 01:18:32
2025.11.21,82115.67978777,-0.7796,SRI,JavaScript,2025-12-12 01:18:32
2025.11.24,82010.4136629,-1.5212,SRI,JavaScript,2025-12-12 01:18:32
2025.11.25,81965.58029338,-1.5529,SRI,JavaScript,2025-12-12 01:18:32
2025.11.26,81565.0526216,-1.3294,SRI,JavaScript,2025-12-12 01:18:32
2025.11.27,81411.84496464,-0.8167,SRI,JavaScript,2025-12-12 01:18:32
2025.11.28,80902.86159706,-0.7479,SRI,JavaScript,2025-12-12 01:18:32
2025.12.01,80514.63677578,-0.9249,SRI,JavaScript,2025-12-12 01:18:32
2025.12.02,80411.96038058,-1.0087,SRI,JavaScript,2025-12-12 01:18:32
2025.12.03,80143.00891339,-0.7101,SRI,JavaScript,2025-12-12 01:18:32
2025.12.04,79404.32194135,-0.5193,SRI,JavaScript,2025-12-12 01:18:32
2025.12.05,78965.51479907,-0.5024,SRI,JavaScript,2025-12-12 01:18:32
2025.12.08,78451.58106443,-0.0927,SRI,JavaScript,2025-12-12 01:18:32
2025.12.09,78034.31287474,0.0956,SRI,JavaScript,2025-12-12 01:18:32
2025.12.10,77821.69807631,-0.0665,SRI,JavaScript,2025-12-12 01:18:32
2025.12.11,77544.57425162,-0.1143,SRI,JavaScript,2025-12-12 01:18:32
2025.12.12,77196.45076142,-0.1981,SRI,JavaScript,2025-12-12 01:18:32
2025.11.12,,,SRI,OCR,2025-12-12 01:18:32
2025.11.20,,,SRI,OCR,2025-12-12 01:18:32
2025.11.28,,,SRI,OCR,2025-12-12 01:18:32
2025.12.08,,,SRI,OCR,2025-12-12 01:18:32
2025.11.12,10545.83051214,0.0,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.13,10543.54744046,0.6413,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.14,10517.28124203,1.078,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.17,10483.09500871,-2.6004,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.18,10500.90903716,-0.933,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.19,10499.11953929,-3.589,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.20,10503.93598873,-4.3404,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.21,10514.98269045,-2.6571,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.24,10499.84586806,-6.168,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.25,10515.01221566,-6.2695,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.26,10518.22956965,-5.4594,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.27,10527.73447768,-3.4447,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.28,10530.87397406,-2.5799,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.01,10525.65253132,-3.5441,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.02,10524.08485914,-3.6339,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.03,10525.03577427,-2.3946,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.04,10519.79575077,-1.5354,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.05,10506.40916346,-1.6479,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.08,10500.07849967,-0.2048,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.09,10491.96051271,0.7641,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.10,10490.44751084,0.3851,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.11,10474.18202516,0.3539,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.12.12,10440.95857799,-0.0769,ESG_주식,JavaScript,2025-12-12 01:18:32
2025.11.12,,,ESG_주식,OCR,2025-12-12 01:18:32
2025.11.20,,,ESG_주식,OCR,2025-12-12 01:18:32
2025.11.28,,,ESG_주식,OCR,2025-12-12 01:18:32
2025.12.08,,,ESG_주식,OCR,2025-12-12 01:18:32
2025.11.12,74877.39771325,0.0,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.13,73278.83579337,-0.1411,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.14,72443.86885899,-0.1774,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.17,71844.74322907,-0.2468,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.18,70910.35091419,-0.1898,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.19,69667.5878195,-0.1199,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.20,68935.3840415,-0.1186,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.21,68439.43647537,-0.1898,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.24,68349.43200806,-0.0636,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.25,68275.11625787,-0.0846,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.26,67882.25538946,-0.0604,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.27,67711.96267389,-0.0297,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.28,67200.95401907,-0.2337,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.01,66817.91132251,-0.1638,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.02,66716.99636358,-0.2572,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.03,66449.15565523,-0.2388,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.04,65715.9810056,-0.2626,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.05,65291.18495016,-0.2152,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.08,64784.2633835,-0.1336,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.09,64378.11709259,-0.2024,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.10,64166.779404,-0.2914,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.11,63906.2980955,-0.3428,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.12.12,63588.40683731,-0.3286,ESG_채권,JavaScript,2025-12-12 01:18:32
2025.11.12,,,ESG_채권,OCR,2025-12-12 01:18:32
2025.11.20,,,ESG_채권,OCR,2025-12-12 01:18:32
