date,setup_amount,return_rate,tab_type,method,collection_time
2024.06.13,41221.79122556,0.0,SRI,JavaScript,2025-06-14 16:40:33
2024.06.14,41265.84440948,0.4249,SRI,JavaScript,2025-06-14 16:40:33
2024.06.17,41222.74714001,0.5069,SRI,JavaScript,2025-06-14 16:40:33
2024.06.18,41174.58182495,0.3733,SRI,JavaScript,2025-06-14 16:40:33
2024.06.19,41200.50969146,0.6963,SRI,JavaScript,2025-06-14 16:40:33
2024.06.20,41210.54061097,1.1906,SRI,JavaScript,2025-06-14 16:40:33
2024.06.21,41137.95231242,1.3767,SRI,JavaScript,2025-06-14 16:40:33
2024.06.24,40918.68444821,1.112,SRI,JavaScript,2025-06-14 16:40:33
2024.06.25,40892.71639928,0.7969,SRI,JavaScript,2025-06-14 16:40:33
2024.06.26,40915.57585197,0.936,SRI,JavaScript,2025-06-14 16:40:33
2024.06.27,40600.20053003,1.2638,SRI,JavaScript,2025-06-14 16:40:33
2024.06.28,40702.99206658,1.2851,SRI,JavaScript,2025-06-14 16:40:33
2024.07.01,40888.01454485,1.475,SRI,JavaScript,2025-06-14 16:40:33
2024.07.02,41136.88812232,1.2817,SRI,JavaScript,2025-06-14 16:40:33
2024.07.03,42129.64300166,0.9801,SRI,JavaScript,2025-06-14 16:40:33
2024.07.04,41977.66328538,1.2378,SRI,JavaScript,2025-06-14 16:40:33
2024.07.05,42032.33871601,1.7953,SRI,JavaScript,2025-06-14 16:40:33
2024.07.08,42183.57105427,2.4378,SRI,JavaScript,2025-06-14 16:40:33
2024.07.09,42151.38895173,2.4274,SRI,JavaScript,2025-06-14 16:40:33
2024.07.10,42180.38003133,2.5413,SRI,JavaScript,2025-06-14 16:40:33
2024.07.11,42417.64066701,2.6003,SRI,JavaScript,2025-06-14 16:40:33
2024.07.12,42535.62874737,2.8869,SRI,JavaScript,2025-06-14 16:40:33
2024.07.15,42506.45336314,2.5538,SRI,JavaScript,2025-06-14 16:40:33
2024.07.16,42518.17673699,2.7314,SRI,JavaScript,2025-06-14 16:40:33
2024.07.17,42683.30175673,2.8214,SRI,JavaScript,2025-06-14 16:40:33
2024.07.18,42729.83343385,2.5036,SRI,JavaScript,2025-06-14 16:40:33
2024.07.19,42733.15673186,2.0772,SRI,JavaScript,2025-06-14 16:40:33
2024.07.22,44655.38382752,1.6928,SRI,JavaScript,2025-06-14 16:40:33
2024.07.23,44680.43034829,1.2453,SRI,JavaScript,2025-06-14 16:40:33
2024.07.24,44746.64038884,1.5947,SRI,JavaScript,2025-06-14 16:40:33
2024.07.25,44786.28037275,1.4363,SRI,JavaScript,2025-06-14 16:40:33
2024.07.26,44879.94662355,0.5035,SRI,JavaScript,2025-06-14 16:40:33
2024.07.29,45018.0147887,0.7903,SRI,JavaScript,2025-06-14 16:40:33
2024.07.30,45088.32826246,1.3959,SRI,JavaScript,2025-06-14 16:40:33
2024.07.31,45398.81442803,1.0457,SRI,JavaScript,2025-06-14 16:40:33
2024.08.01,45595.87492756,1.3208,SRI,JavaScript,2025-06-14 16:40:33
2024.08.02,46129.00213446,1.5467,SRI,JavaScript,2025-06-14 16:40:33
2024.08.05,46214.25063009,0.0163,SRI,JavaScript,2025-06-14 16:40:33
2024.08.06,46241.84008411,-3.057,SRI,JavaScript,2025-06-14 16:40:33
2024.08.07,46311.92066239,-2.3632,SRI,JavaScript,2025-06-14 16:40:33
2024.08.08,46371.03461235,-1.6101,SRI,JavaScript,2025-06-14 16:40:33
2024.08.09,46687.43408919,-1.6599,SRI,JavaScript,2025-06-14 16:40:33
2024.08.12,46760.55178758,-1.2175,SRI,JavaScript,2025-06-14 16:40:33
2024.08.13,46912.21548658,-0.7944,SRI,JavaScript,2025-06-14 16:40:33
2024.08.14,47041.23093926,-0.7421,SRI,JavaScript,2025-06-14 16:40:33
2024.08.16,47226.81681507,-0.3686,SRI,JavaScript,2025-06-14 16:40:33
2024.08.19,47458.38043475,0.4093,SRI,JavaScript,2025-06-14 16:40:33
2024.08.20,47554.94010614,0.1693,SRI,JavaScript,2025-06-14 16:40:33
2024.08.21,47651.03179405,0.5753,SRI,JavaScript,2025-06-14 16:40:33
2024.08.22,47691.29645292,0.5188,SRI,JavaScript,2025-06-14 16:40:33
2024.08.23,47917.87674155,0.6009,SRI,JavaScript,2025-06-14 16:40:33
2024.08.26,48261.7984572,0.5899,SRI,JavaScript,2025-06-14 16:40:33
2024.08.27,48417.27274645,0.5926,SRI,JavaScript,2025-06-14 16:40:33
2024.08.28,48534.66332634,0.3837,SRI,JavaScript,2025-06-14 16:40:33
2024.08.29,48590.24802009,0.4128,SRI,JavaScript,2025-06-14 16:40:33
2024.08.30,48652.43677717,0.0223,SRI,JavaScript,2025-06-14 16:40:33
2024.09.02,48798.00891779,0.2088,SRI,JavaScript,2025-06-14 16:40:33
2024.09.03,48921.97307842,0.2287,SRI,JavaScript,2025-06-14 16:40:33
2024.09.04,49046.42599431,0.0675,SRI,JavaScript,2025-06-14 16:40:33
2024.09.05,49055.98626206,-1.0369,SRI,JavaScript,2025-06-14 16:40:33
2024.09.06,48912.202875,-1.1393,SRI,JavaScript,2025-06-14 16:40:33
2024.09.09,48995.09061372,-1.4625,SRI,JavaScript,2025-06-14 16:40:33
2024.09.10,48937.63044177,-1.5631,SRI,JavaScript,2025-06-14 16:40:33
2024.09.11,48978.36843904,-1.5698,SRI,JavaScript,2025-06-14 16:40:33
2024.09.12,49090.94112731,-1.7792,SRI,JavaScript,2025-06-14 16:40:33
2024.09.13,49046.08042861,-1.09,SRI,JavaScript,2025-06-14 16:40:33
2024.09.19,49147.29244217,-0.807,SRI,JavaScript,2025-06-14 16:40:33
2024.09.20,49262.49176537,-0.5229,SRI,JavaScript,2025-06-14 16:40:33
2024.09.23,49292.50691018,-0.2053,SRI,JavaScript,2025-06-14 16:40:33
2024.09.24,49219.85644941,-0.0659,SRI,JavaScript,2025-06-14 16:40:33
2024.09.25,49291.32118851,0.2122,SRI,JavaScript,2025-06-14 16:40:33
2024.09.26,49401.23146556,-0.256,SRI,JavaScript,2025-06-14 16:40:33
2024.09.27,49360.25976135,0.6379,SRI,JavaScript,2025-06-14 16:40:33
2024.09.30,49702.76903543,0.5364,SRI,JavaScript,2025-06-14 16:40:33
2024.10.02,49488.59912525,-0.111,SRI,JavaScript,2025-06-14 16:40:33
2024.10.04,49569.38249562,-0.3853,SRI,JavaScript,2025-06-14 16:40:33
2024.10.07,49601.20202248,-0.2526,SRI,JavaScript,2025-06-14 16:40:33
2024.10.08,49716.99849402,0.2205,SRI,JavaScript,2025-06-14 16:40:33
2024.10.10,50527.46816025,-0.0286,SRI,JavaScript,2025-06-14 16:40:33
2024.10.11,50687.96109327,0.1421,SRI,JavaScript,2025-06-14 16:40:33
2024.10.14,50845.55011051,0.1539,SRI,JavaScript,2025-06-14 16:40:33
2024.10.15,51056.18004176,0.5932,SRI,JavaScript,2025-06-14 16:40:33
2024.10.16,51290.40187903,0.8346,SRI,JavaScript,2025-06-14 16:40:33
2024.10.17,51435.96945684,0.5333,SRI,JavaScript,2025-06-14 16:40:33
2024.10.18,51719.18829491,0.5456,SRI,JavaScript,2025-06-14 16:40:33
2024.10.21,51777.18933233,0.3762,SRI,JavaScript,2025-06-14 16:40:33
2024.10.22,51919.71913417,0.5318,SRI,JavaScript,2025-06-14 16:40:33
2024.10.23,52059.95395173,0.1011,SRI,JavaScript,2025-06-14 16:40:33
2024.10.24,52257.89058422,0.2915,SRI,JavaScript,2025-06-14 16:40:33
2024.10.25,52415.00778817,0.0356,SRI,JavaScript,2025-06-14 16:40:33
2024.10.28,52386.85426007,0.2,SRI,JavaScript,2025-06-14 16:40:33
2024.10.29,52583.4228325,0.2725,SRI,JavaScript,2025-06-14 16:40:33
2024.10.30,52651.14625325,0.2922,SRI,JavaScript,2025-06-14 16:40:33
2024.10.31,52754.01806856,0.0704,SRI,JavaScript,2025-06-14 16:40:33
2024.11.01,52726.37912296,-0.4043,SRI,JavaScript,2025-06-14 16:40:33
2024.11.04,52880.48417279,-0.647,SRI,JavaScript,2025-06-14 16:40:33
2024.11.05,53870.47827833,-0.1174,SRI,JavaScript,2025-06-14 16:40:33
2024.11.06,53925.74869114,-0.2058,SRI,JavaScript,2025-06-14 16:40:33
2024.11.07,53813.49971601,-0.1104,SRI,JavaScript,2025-06-14 16:40:33
2024.11.08,53861.31980024,-0.0574,SRI,JavaScript,2025-06-14 16:40:33
2024.11.11,53813.79936305,0.0479,SRI,JavaScript,2025-06-14 16:40:33
2024.11.12,53878.9709829,-0.1503,SRI,JavaScript,2025-06-14 16:40:33
2024.11.13,53973.55185595,-0.6195,SRI,JavaScript,2025-06-14 16:40:33
2024.11.14,53797.73444254,-1.3864,SRI,JavaScript,2025-06-14 16:40:33
2024.11.15,53884.93021273,-1.4505,SRI,JavaScript,2025-06-14 16:40:33
2024.11.18,53881.14935228,-1.4612,SRI,JavaScript,2025-06-14 16:40:33
2024.11.19,53900.32344457,-1.0988,SRI,JavaScript,2025-06-14 16:40:33
2024.11.20,53967.54666663,-1.0984,SRI,JavaScript,2025-06-14 16:40:33
2024.11.21,54187.64086853,-0.9179,SRI,JavaScript,2025-06-14 16:40:33
2024.11.22,54092.66744944,-0.8836,SRI,JavaScript,2025-06-14 16:40:33
2024.11.25,54637.97769561,-0.6854,SRI,JavaScript,2025-06-14 16:40:33
2024.11.26,54568.64765011,-0.2223,SRI,JavaScript,2025-06-14 16:40:33
