rank,fund_name,fund_code,return_rate,tab_type,collection_date,collection_time
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-s),K55210DM2128,21.03%,SRI,2025-06-14,2025-06-14 02:25:58
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류S),K55210DM2144,21.01%,SRI,2025-06-14,2025-06-14 02:25:58
3,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,21.00%,SRI,2025-06-14,2025-06-14 02:25:58
4,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,20.99%,SRI,2025-06-14,2025-06-14 02:25:58
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,20.98%,SRI,2025-06-14,2025-06-14 02:25:58
