rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe2,K55321DB5385,14.63%,수익률,SRI,2025-09-26,2025-09-26 01:10:46
2,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe1,K55321DB5369,14.62%,수익률,SRI,2025-09-26,2025-09-26 01:10:46
3,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassS,KR5321AP8891,14.61%,수익률,SRI,2025-09-26,2025-09-26 01:10:46
4,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassA-e,K55321DO1611,14.60%,수익률,SRI,2025-09-26,2025-09-26 01:10:46
5,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassP1,K55321DB5328,14.60%,수익률,SRI,2025-09-26,2025-09-26 01:10:46
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,486.51",설정액증가,SRI,2025-09-26,2025-09-26 01:10:46
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,842.42,설정액증가,SRI,2025-09-26,2025-09-26 01:10:46
3,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,779.00,설정액증가,SRI,2025-09-26,2025-09-26 01:10:46
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,564.89,설정액증가,SRI,2025-09-26,2025-09-26 01:10:46
5,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,558.65,설정액증가,SRI,2025-09-26,2025-09-26 01:10:46
1,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe2,K55321DB5385,14.63%,수익률,ESG_주식,2025-09-26,2025-09-26 01:10:46
2,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe1,K55321DB5369,14.62%,수익률,ESG_주식,2025-09-26,2025-09-26 01:10:46
3,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassS,KR5321AP8891,14.61%,수익률,ESG_주식,2025-09-26,2025-09-26 01:10:46
4,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassA-e,K55321DO1611,14.60%,수익률,ESG_주식,2025-09-26,2025-09-26 01:10:46
5,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassP1,K55321DB5328,14.60%,수익률,ESG_주식,2025-09-26,2025-09-26 01:10:46
1,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,23.30,설정액증가,ESG_주식,2025-09-26,2025-09-26 01:10:46
2,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,15.49,설정액증가,ESG_주식,2025-09-26,2025-09-26 01:10:46
3,삼성글로벌배당귀족ESG증권자투자신탁H[주식]_Cw,K55105DR1677,10.05,설정액증가,ESG_주식,2025-09-26,2025-09-26 01:10:46
4,한화그린히어로증권자투자신탁(주식)C-RPe(퇴직연금),K55213DB6004,6.31,설정액증가,ESG_주식,2025-09-26,2025-09-26 01:10:46
5,한화그린히어로증권자투자신탁(주식)C-Pe(연금저축),K55213DB5980,4.76,설정액증가,ESG_주식,2025-09-26,2025-09-26 01:10:46
1,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,2.27%,수익률,ESG_채권,2025-09-26,2025-09-26 01:10:46
2,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,2.27%,수익률,ESG_채권,2025-09-26,2025-09-26 01:10:46
3,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)Class A,K55302CE8547,2.20%,수익률,ESG_채권,2025-09-26,2025-09-26 01:10:46
4,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS-P,K55302CE8422,2.15%,수익률,ESG_채권,2025-09-26,2025-09-26 01:10:46
5,베어링글로벌하이일드증권자투자신탁[UH](채권-재간접형)ClassS,K55302CE8414,2.14%,수익률,ESG_채권,2025-09-26,2025-09-26 01:10:46
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,486.51",설정액증가,ESG_채권,2025-09-26,2025-09-26 01:10:46
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,842.42,설정액증가,ESG_채권,2025-09-26,2025-09-26 01:10:46
3,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,779.00,설정액증가,ESG_채권,2025-09-26,2025-09-26 01:10:46
4,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,564.89,설정액증가,ESG_채권,2025-09-26,2025-09-26 01:10:46
5,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,558.65,설정액증가,ESG_채권,2025-09-26,2025-09-26 01:10:46
