fund_name,company,setup_date,tab_type,collection_date,collection_time
교보악사중단기우량채ESG증권투자신탁[채권]_운용,교보악사자산운용,2025.08.07,SRI,2025-09-05,2025-09-05 01:09:23
교보악사중단기우량채ESG증권투자신탁[채권]_운용,교보악사자산운용,2025.08.07,ESG_채권,2025-09-05,2025-09-05 01:09:23
