date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.07.29,76979.56755738,0.0,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.07.30,77950.74080716,0.1529,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.07.31,78212.5274643,0.2284,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.01,78516.67111434,0.1965,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.04,78808.93872178,-0.4389,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.05,79558.24064368,-0.3159,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.06,79766.10163896,0.0649,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.07,80408.11817184,0.0882,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.08,81725.28613843,0.2218,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.11,82069.16538628,0.1882,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.12,82352.34374371,0.172,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.13,82866.04814762,0.078,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.14,83243.1483367,0.288,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.18,84234.50847555,0.3704,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.19,84777.20722978,0.0595,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.20,85890.34751816,-0.0399,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.21,86278.48068696,-0.1589,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.22,86897.87226689,-0.1231,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.25,87289.27421213,-0.0216,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.26,87504.96008505,0.3018,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.27,87732.48119125,0.2217,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.28,87926.27373189,0.3081,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.29,88622.94933794,0.335,SRI,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.07.29,11538.65846496,0.0,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.07.30,11554.5859761,0.6345,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.07.31,11547.27546432,0.91,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.01,11525.93192232,0.7754,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.04,11512.192569,-2.1294,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.05,11516.91549515,-1.8671,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.06,11517.31264153,-0.2547,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.07,11540.38419998,-0.1465,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.08,11506.51313228,0.3623,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.11,11507.8767822,0.1187,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.12,11512.42841897,0.0776,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.13,11500.04989043,-0.3273,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.14,11492.3306669,0.5355,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.18,11486.1624494,0.6187,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.19,11518.03463062,-0.6562,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.20,11517.85993255,-1.0857,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
2025.08.21,11522.26163809,-1.7733,ESG_주식,2025-08-29,2025-08-29 01:11:06,01,1개월
