rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe2,K55321DB5385,18.22%,수익률,SRI,2025-10-10,2025-10-10 01:10:15
2,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe1,K55321DB5369,18.21%,수익률,SRI,2025-10-10,2025-10-10 01:10:15
3,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassS,KR5321AP8891,18.21%,수익률,SRI,2025-10-10,2025-10-10 01:10:15
4,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassA-e,K55321DO1611,18.20%,수익률,SRI,2025-10-10,2025-10-10 01:10:15
5,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassP1,K55321DB5328,18.19%,수익률,SRI,2025-10-10,2025-10-10 01:10:15
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"1,692.59",설정액증가,SRI,2025-10-10,2025-10-10 01:10:15
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,648.00,설정액증가,SRI,2025-10-10,2025-10-10 01:10:15
3,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,605.00,설정액증가,SRI,2025-10-10,2025-10-10 01:10:15
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,441.06,설정액증가,SRI,2025-10-10,2025-10-10 01:10:15
5,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,399.12,설정액증가,SRI,2025-10-10,2025-10-10 01:10:15
1,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe2,K55321DB5385,18.22%,수익률,ESG_주식,2025-10-10,2025-10-10 01:10:15
2,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassPe1,K55321DB5369,18.21%,수익률,ESG_주식,2025-10-10,2025-10-10 01:10:15
3,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassS,KR5321AP8891,18.21%,수익률,ESG_주식,2025-10-10,2025-10-10 01:10:15
4,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassA-e,K55321DO1611,18.20%,수익률,ESG_주식,2025-10-10,2025-10-10 01:10:15
5,알파글로벌신재생에너지증권자투자신탁 1[주식]ClassP1,K55321DB5328,18.19%,수익률,ESG_주식,2025-10-10,2025-10-10 01:10:15
1,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,19.07,설정액증가,ESG_주식,2025-10-10,2025-10-10 01:10:15
2,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,14.82,설정액증가,ESG_주식,2025-10-10,2025-10-10 01:10:15
3,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,11.80,설정액증가,ESG_주식,2025-10-10,2025-10-10 01:10:15
4,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,7.37,설정액증가,ESG_주식,2025-10-10,2025-10-10 01:10:15
5,한화그린히어로증권자투자신탁(주식)A-e,K55213DB5915,5.98,설정액증가,ESG_주식,2025-10-10,2025-10-10 01:10:15
1,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassC-F,K55302CJ6595,1.28%,수익률,ESG_채권,2025-10-10,2025-10-10 01:10:15
2,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassAe,K55302CJ6546,1.26%,수익률,ESG_채권,2025-10-10,2025-10-10 01:10:15
3,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassCe,K55302CE8588,1.25%,수익률,ESG_채권,2025-10-10,2025-10-10 01:10:15
4,베어링글로벌하이일드증권투자신탁[USD](채권-재간접형)ClassAe,K55302CE8554,1.25%,수익률,ESG_채권,2025-10-10,2025-10-10 01:10:15
5,베어링글로벌선순위담보채권증권투자신탁[USD](채권-재간접형)ClassA,K55302CJ6538,1.23%,수익률,ESG_채권,2025-10-10,2025-10-10 01:10:15
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"1,692.59",설정액증가,ESG_채권,2025-10-10,2025-10-10 01:10:15
2,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,648.00,설정액증가,ESG_채권,2025-10-10,2025-10-10 01:10:15
3,삼성KODEXESG종합채권(A-이상)액티브증권상장지수투자신탁[채권],K55105DR2899,605.00,설정액증가,ESG_채권,2025-10-10,2025-10-10 01:10:15
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,441.06,설정액증가,ESG_채권,2025-10-10,2025-10-10 01:10:15
5,교보악사중단기우량채ESG증권투자신탁[채권]_ClassC-F,K55207EN0224,399.12,설정액증가,ESG_채권,2025-10-10,2025-10-10 01:10:15
