date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.09.17,92045.20011053,0.0,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.18,92141.00663257,-0.1523,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.19,92203.17609216,0.0764,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.22,92138.42952459,0.0545,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.23,92441.43253313,0.1772,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.24,92476.51650334,0.2651,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.25,92556.16637752,0.1702,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.26,92841.82328099,0.0481,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.29,93220.57917297,-0.3392,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.30,93316.12806678,-0.1067,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.01,92252.63223019,-0.0822,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.02,91999.57227281,0.0682,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.10,93726.34170774,0.5604,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.13,93699.21139893,0.9706,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.14,93629.75853777,0.78,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.15,93231.85278827,0.7809,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.16,92841.52722342,1.1901,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.17,87900.78381339,1.5557,SRI,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.17,11095.45948486,0.0,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.18,11069.81862942,-0.8499,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.19,11053.21179464,0.2672,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.22,11049.93598901,0.2384,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.23,11064.7376597,0.9668,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.24,11047.62777762,1.3994,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.25,11023.93406426,0.9532,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.26,11024.11022426,0.6216,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.29,11037.35408729,-1.3057,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.30,11044.14514519,-0.102,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.01,11036.49326701,-0.0157,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.02,11018.51436346,0.8335,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.10,10731.72996855,3.0064,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.13,10701.94890219,5.0687,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.14,10661.68556158,3.8109,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.15,10668.44656288,3.5305,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.16,10665.06932745,5.6143,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.17,10622.20537213,7.727,ESG_주식,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.17,77755.94382161,0.0,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.18,77880.96436011,0.0131,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.19,77963.96480285,0.029,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.22,77903.88551469,-0.0013,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.23,78190.24240704,-0.0205,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.24,78245.14729688,-0.0172,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.25,78348.93302628,-0.0314,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.26,78629.0244094,-0.1018,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.29,78997.39188229,-0.1286,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.09.30,79088.86067328,-0.1219,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.01,78031.25869162,-0.1218,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.02,77796.70314693,-0.1425,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.10,79810.65793435,-0.032,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.13,79812.56935292,-0.0032,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.14,79784.45947486,0.0774,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.15,79381.91584437,0.128,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.16,78998.55053992,0.1594,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
2025.10.17,74080.17625548,0.0928,ESG_채권,2025-10-17,2025-10-17 01:11:12,01,1개월
