rank,fund_name,fund_code,return_rate,tab_type,collection_date,collection_time
1,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassS,K55232EE7096,1.49%,ESG_채권,2025-06-14,2025-06-14 09:17:41
2,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassS-P2(퇴직연금),K55232EE7112,1.47%,ESG_채권,2025-06-14,2025-06-14 09:17:41
3,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassS-P1(연금저축),K55232EE7104,1.46%,ESG_채권,2025-06-14,2025-06-14 09:17:41
4,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassC-P2e(퇴직연금),K55232EE7088,1.45%,ESG_채권,2025-06-14,2025-06-14 09:17:41
5,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassC-P1e(연금저축),K55232EE7054,1.45%,ESG_채권,2025-06-14,2025-06-14 09:17:41
