rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,KBESG성장리더스증권자투자신탁(주식)C-G,K55223BP2841,36.41%,수익률,SRI,2025-06-15,2025-06-15 01:05:07
2,KBESG성장리더스증권자투자신탁(주식)C-W,K55223C56831,36.10%,수익률,SRI,2025-06-15,2025-06-15 01:05:07
3,KBESG성장리더스증권자투자신탁(주식)S-P,K55223C56856,36.00%,수익률,SRI,2025-06-15,2025-06-15 01:05:07
4,KBESG성장리더스증권자투자신탁(주식)S,K55223C56849,35.91%,수익률,SRI,2025-06-15,2025-06-15 01:05:07
5,KBESG성장리더스증권자투자신탁(주식)C-퇴직e,K55223C56898,35.84%,수익률,SRI,2025-06-15,2025-06-15 01:05:07
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"7,373.95",설정액증가,SRI,2025-06-15,2025-06-15 01:05:07
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"3,914.03",설정액증가,SRI,2025-06-15,2025-06-15 01:05:07
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"2,841.50",설정액증가,SRI,2025-06-15,2025-06-15 01:05:07
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,"1,559.00",설정액증가,SRI,2025-06-15,2025-06-15 01:05:07
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A),KR5101888372,"1,457.37",설정액증가,SRI,2025-06-15,2025-06-15 01:05:07
1,KBESG성장리더스증권자투자신탁(주식)C-G,K55223BP2841,36.41%,수익률,ESG_주식,2025-06-15,2025-06-15 01:05:07
2,KBESG성장리더스증권자투자신탁(주식)C-W,K55223C56831,36.10%,수익률,ESG_주식,2025-06-15,2025-06-15 01:05:07
3,KBESG성장리더스증권자투자신탁(주식)S-P,K55223C56856,36.00%,수익률,ESG_주식,2025-06-15,2025-06-15 01:05:07
4,KBESG성장리더스증권자투자신탁(주식)S,K55223C56849,35.91%,수익률,ESG_주식,2025-06-15,2025-06-15 01:05:07
5,KBESG성장리더스증권자투자신탁(주식)C-퇴직e,K55223C56898,35.84%,수익률,ESG_주식,2025-06-15,2025-06-15 01:05:07
1,삼성글로벌배당귀족ESG증권자투자신탁H[주식]_Cw,K55105DR1677,119.49,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:05:07
2,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,90.00,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:05:07
3,마이다스책임투자증권투자신탁(주식)C4,KR5303939882,39.68,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:05:07
4,마이다스책임투자증권투자신탁(주식)C-Pe2,K55303BT4143,38.95,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:05:07
5,마이다스책임투자증권투자신탁(주식)C-P1,K55303BA2239,22.88,설정액증가,ESG_주식,2025-06-15,2025-06-15 01:05:07
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-W),K55101BV9589,2.75%,수익률,ESG_채권,2025-06-15,2025-06-15 01:05:07
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,2.74%,수익률,ESG_채권,2025-06-15,2025-06-15 01:05:07
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(S-R),K55101D18852,2.71%,수익률,ESG_채권,2025-06-15,2025-06-15 01:05:07
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(S-P),K55101CH6384,2.71%,수익률,ESG_채권,2025-06-15,2025-06-15 01:05:07
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(S),KR5101AP0944,2.70%,수익률,ESG_채권,2025-06-15,2025-06-15 01:05:07
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"7,373.95",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:05:07
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"3,914.03",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:05:07
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"2,841.50",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:05:07
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,"1,559.00",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:05:07
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A),KR5101888372,"1,457.37",설정액증가,ESG_채권,2025-06-15,2025-06-15 01:05:07
