rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-s),K55210DM2128,35.77%,수익률,SRI,2025-06-15,2025-06-15 00:26:57
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류S),K55210DM2144,35.69%,수익률,SRI,2025-06-15,2025-06-15 00:26:57
3,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,35.68%,수익률,SRI,2025-06-15,2025-06-15 00:26:57
4,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,35.63%,수익률,SRI,2025-06-15,2025-06-15 00:26:57
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,35.60%,수익률,SRI,2025-06-15,2025-06-15 00:26:57
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"4,045.91",설정액증가,SRI,2025-06-15,2025-06-15 00:26:57
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"2,247.40",설정액증가,SRI,2025-06-15,2025-06-15 00:26:57
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"1,575.16",설정액증가,SRI,2025-06-15,2025-06-15 00:26:57
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,"1,199.00",설정액증가,SRI,2025-06-15,2025-06-15 00:26:57
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A-e),K55101BV9522,743.26,설정액증가,SRI,2025-06-15,2025-06-15 00:26:57
1,트러스톤ESG지배구조레벨업증권자투자신탁[주식]W클래스,K55363DD7925,27.28%,수익률,ESG_주식,2025-06-15,2025-06-15 00:26:57
2,트러스톤ESG지배구조레벨업증권자투자신탁[주식]I클래스,K55363DD7917,27.27%,수익률,ESG_주식,2025-06-15,2025-06-15 00:26:57
3,트러스톤ESG지배구조레벨업증권자투자신탁[주식]S-P2(퇴직연금)클래스,K55363DF7360,27.24%,수익률,ESG_주식,2025-06-15,2025-06-15 00:26:57
4,트러스톤ESG지배구조레벨업증권자투자신탁[주식]S-P클래스,K55363DD7966,27.23%,수익률,ESG_주식,2025-06-15,2025-06-15 00:26:57
5,트러스톤ESG지배구조레벨업증권자투자신탁[주식]Ae클래스,K55363DD7883,27.18%,수익률,ESG_주식,2025-06-15,2025-06-15 00:26:57
1,마이다스책임투자증권투자신탁(주식)C-Pe2,K55303BT4143,47.94,설정액증가,ESG_주식,2025-06-15,2025-06-15 00:26:57
2,NH-Amundi100년기업그린코리아증권투자신탁[주식]ClassCf,K55232D64511,41.49,설정액증가,ESG_주식,2025-06-15,2025-06-15 00:26:57
3,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,30.00,설정액증가,ESG_주식,2025-06-15,2025-06-15 00:26:57
4,마이다스책임투자증권투자신탁(주식)C-P1,K55303BA2239,23.90,설정액증가,ESG_주식,2025-06-15,2025-06-15 00:26:57
5,삼성글로벌배당귀족ESG증권자투자신탁H[주식]_Cw,K55105DR1677,22.62,설정액증가,ESG_주식,2025-06-15,2025-06-15 00:26:57
1,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassS,K55232EE7096,2.84%,수익률,ESG_채권,2025-06-15,2025-06-15 00:26:57
2,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassS-P2(퇴직연금),K55232EE7112,2.78%,수익률,ESG_채권,2025-06-15,2025-06-15 00:26:57
3,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassS-P1(연금저축),K55232EE7104,2.72%,수익률,ESG_채권,2025-06-15,2025-06-15 00:26:57
4,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassC-P2e(퇴직연금),K55232EE7088,2.71%,수익률,ESG_채권,2025-06-15,2025-06-15 00:26:57
5,NH-Amundi디딤하나로자산배분증권자투자신탁[채권혼합-재간접형]ClassC-P1e(연금저축),K55232EE7054,2.70%,수익률,ESG_채권,2025-06-15,2025-06-15 00:26:57
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"4,045.91",설정액증가,ESG_채권,2025-06-15,2025-06-15 00:26:57
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"2,247.40",설정액증가,ESG_채권,2025-06-15,2025-06-15 00:26:57
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"1,575.16",설정액증가,ESG_채권,2025-06-15,2025-06-15 00:26:57
4,삼성KODEX미국종합채권ESG액티브증권상장지수투자신탁[채권](H),K55105DR4788,"1,199.00",설정액증가,ESG_채권,2025-06-15,2025-06-15 00:26:57
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A-e),K55101BV9522,743.26,설정액증가,ESG_채권,2025-06-15,2025-06-15 00:26:57
