rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-s),K55210DM2128,34.23%,수익률,SRI,2025-06-14,2025-06-14 16:40:33
2,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류S),K55210DM2144,33.86%,수익률,SRI,2025-06-14,2025-06-14 16:40:33
3,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A-e),K55210DM2011,33.83%,수익률,SRI,2025-06-14,2025-06-14 16:40:33
4,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,33.60%,수익률,SRI,2025-06-14,2025-06-14 16:40:33
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,33.40%,수익률,SRI,2025-06-14,2025-06-14 16:40:33
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"11,125.15",설정액증가,SRI,2025-06-14,2025-06-14 16:40:33
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"5,941.81",설정액증가,SRI,2025-06-14,2025-06-14 16:40:33
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"3,923.47",설정액증가,SRI,2025-06-14,2025-06-14 16:40:33
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A),KR5101888372,"2,258.28",설정액증가,SRI,2025-06-14,2025-06-14 16:40:33
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A-e),K55101BV9522,"1,887.18",설정액증가,SRI,2025-06-14,2025-06-14 16:40:33
1,트러스톤ESG지배구조레벨업증권자투자신탁[주식]I클래스,K55363DD7917,27.00%,수익률,ESG_주식,2025-06-14,2025-06-14 16:40:33
2,트러스톤ESG지배구조레벨업증권자투자신탁[주식]W클래스,K55363DD7925,26.94%,수익률,ESG_주식,2025-06-14,2025-06-14 16:40:33
3,트러스톤ESG지배구조레벨업증권자투자신탁[주식]S-P2(퇴직연금)클래스,K55363DF7360,26.84%,수익률,ESG_주식,2025-06-14,2025-06-14 16:40:33
4,트러스톤ESG지배구조레벨업증권자투자신탁[주식]S-P클래스,K55363DD7966,26.83%,수익률,ESG_주식,2025-06-14,2025-06-14 16:40:33
5,트러스톤ESG지배구조레벨업증권자투자신탁[주식]S클래스,K55363DD7933,26.61%,수익률,ESG_주식,2025-06-14,2025-06-14 16:40:33
1,삼성글로벌배당귀족ESG증권자투자신탁H[주식]_Cw,K55105DR1677,287.35,설정액증가,ESG_주식,2025-06-14,2025-06-14 16:40:33
2,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,200.00,설정액증가,ESG_주식,2025-06-14,2025-06-14 16:40:33
3,한화PLUSESG성장주액티브증권상장지수투자신탁(주식),K55213DK8959,65.35,설정액증가,ESG_주식,2025-06-14,2025-06-14 16:40:33
4,마이다스책임투자증권투자신탁(주식)C4,KR5303939882,64.76,설정액증가,ESG_주식,2025-06-14,2025-06-14 16:40:33
5,한국밸류지속성장ESG증권자투자신탁(주식)C-F,K55236CB3245,44.68,설정액증가,ESG_주식,2025-06-14,2025-06-14 16:40:33
1,키움ESG중장기우량채증권자투자신탁 1[채권]C-W,K55206CN4518,6.75%,수익률,ESG_채권,2025-06-14,2025-06-14 16:40:33
2,키움ESG중장기우량채증권자투자신탁 1[채권]C-F,KR5206AF8638,6.74%,수익률,ESG_채권,2025-06-14,2025-06-14 16:40:33
3,키움ESG중장기우량채증권자투자신탁 1[채권]S,KR5206AQ7421,6.62%,수익률,ESG_채권,2025-06-14,2025-06-14 16:40:33
4,키움ESG중장기우량채증권자투자신탁 1[채권]A-e,KR5206AQ7413,6.62%,수익률,ESG_채권,2025-06-14,2025-06-14 16:40:33
5,키움ESG중장기우량채증권자투자신탁 1[채권]C-Pe,K55206BV5920,6.57%,수익률,ESG_채권,2025-06-14,2025-06-14 16:40:33
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"11,125.15",설정액증가,ESG_채권,2025-06-14,2025-06-14 16:40:33
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"5,941.81",설정액증가,ESG_채권,2025-06-14,2025-06-14 16:40:33
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,"3,923.47",설정액증가,ESG_채권,2025-06-14,2025-06-14 16:40:33
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A),KR5101888372,"2,258.28",설정액증가,ESG_채권,2025-06-14,2025-06-14 16:40:33
5,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(A-e),K55101BV9522,"1,887.18",설정액증가,ESG_채권,2025-06-14,2025-06-14 16:40:33
