date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.08.26,87771.82882493,0.0,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.08.27,87999.43884214,-0.0803,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.08.28,88194.21978354,0.0062,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.08.29,88890.69018827,0.033,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.01,89217.36491804,0.0443,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.02,89313.93275607,-0.2097,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.03,90271.25911641,-0.0907,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.04,90625.57101757,-0.1045,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.05,90409.62727339,0.0176,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.08,90547.98004623,0.1267,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.09,90702.81318894,0.2633,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.10,90971.54409669,0.4926,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.11,91252.14766207,0.7645,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.12,91871.49663702,0.9851,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.15,91919.01504963,1.2391,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.16,91961.19964281,1.2916,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.17,92045.20011053,1.5273,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.18,92141.00663257,1.3727,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.19,92203.17609216,1.6049,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.22,92138.42952459,1.5827,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.23,92441.43253313,1.7073,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.24,92476.51650334,1.7965,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.25,92556.16637752,1.7002,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.26,92801.68031935,1.5763,SRI,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.08.26,11499.62071688,0.0,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.08.27,11484.1768409,-0.4976,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.08.28,11482.49220049,-0.2185,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.08.29,11474.07534053,-0.0663,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.01,11459.02813379,-0.0899,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.02,11447.56373479,-1.3297,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.03,11443.8346105,-0.6404,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.04,11457.43770984,-0.5026,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.05,11445.76114428,-0.03,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.08,11431.08240994,0.2966,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.09,11410.71798691,0.8083,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.10,11384.30605967,1.7733,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.11,11340.15111865,3.2286,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.12,11268.18810231,4.237,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.15,11184.75884997,5.5125,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
2025.09.16,11131.81295437,5.8686,ESG_주식,2025-09-26,2025-09-26 01:10:46,01,1개월
