rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,한화그린히어로증권자투자신탁(주식)J-Pe(연금저축),K55213DB6079,13.03%,수익률,SRI,2025-08-08,2025-08-08 01:23:59
2,한화그린히어로증권자투자신탁(주식)J-e,K55213DB6061,13.03%,수익률,SRI,2025-08-08,2025-08-08 01:23:59
3,한화그린히어로증권자투자신탁(주식)S-RP(퇴직연금),K55213DB6038,13.02%,수익률,SRI,2025-08-08,2025-08-08 01:23:59
4,한화그린히어로증권자투자신탁(주식)S-P(연금저축),K55213DB6020,13.02%,수익률,SRI,2025-08-08,2025-08-08 01:23:59
5,한화그린히어로증권자투자신탁(주식)S,K55213DB6012,13.02%,수익률,SRI,2025-08-08,2025-08-08 01:23:59
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,033.64",설정액증가,SRI,2025-08-08,2025-08-08 01:23:59
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"1,545.69",설정액증가,SRI,2025-08-08,2025-08-08 01:23:59
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,817.88,설정액증가,SRI,2025-08-08,2025-08-08 01:23:59
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,350.47,설정액증가,SRI,2025-08-08,2025-08-08 01:23:59
5,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,340.37,설정액증가,SRI,2025-08-08,2025-08-08 01:23:59
1,한화그린히어로증권자투자신탁(주식)J-Pe(연금저축),K55213DB6079,13.03%,수익률,ESG_주식,2025-08-08,2025-08-08 01:23:59
2,한화그린히어로증권자투자신탁(주식)J-e,K55213DB6061,13.03%,수익률,ESG_주식,2025-08-08,2025-08-08 01:23:59
3,한화그린히어로증권자투자신탁(주식)S-RP(퇴직연금),K55213DB6038,13.02%,수익률,ESG_주식,2025-08-08,2025-08-08 01:23:59
4,한화그린히어로증권자투자신탁(주식)S-P(연금저축),K55213DB6020,13.02%,수익률,ESG_주식,2025-08-08,2025-08-08 01:23:59
5,한화그린히어로증권자투자신탁(주식)S,K55213DB6012,13.02%,수익률,ESG_주식,2025-08-08,2025-08-08 01:23:59
1,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-re),K55210DM2110,101.95,설정액증가,ESG_주식,2025-08-08,2025-08-08 01:23:59
2,트러스톤ESG지배구조레벨업증권자투자신탁[주식]A클래스,K55363DD7875,65.30,설정액증가,ESG_주식,2025-08-08,2025-08-08 01:23:59
3,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,64.97,설정액증가,ESG_주식,2025-08-08,2025-08-08 01:23:59
4,KBESG성장리더스증권자투자신탁(주식)A-E,K55223C56823,43.60,설정액증가,ESG_주식,2025-08-08,2025-08-08 01:23:59
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류C-e),K55210DM2045,41.19,설정액증가,ESG_주식,2025-08-08,2025-08-08 01:23:59
1,삼성KODEX아시아달러채권ESG플러스액티브증권상장지수투자신탁[채권],K55105DR4770,3.05%,수익률,ESG_채권,2025-08-08,2025-08-08 01:23:59
2,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P2(퇴직연금),K55232D97347,2.83%,수익률,ESG_채권,2025-08-08,2025-08-08 01:23:59
3,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS-P,K55232BJ3861,2.83%,수익률,ESG_채권,2025-08-08,2025-08-08 01:23:59
4,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassS,K55232BJ3853,2.83%,수익률,ESG_채권,2025-08-08,2025-08-08 01:23:59
5,NH-Amundi글로벌회사채증권자투자신탁(UH)[채권-재간접형]ClassC-P2e(퇴직연금),K55232BX7211,2.83%,수익률,ESG_채권,2025-08-08,2025-08-08 01:23:59
1,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C),KR5101888380,"2,033.64",설정액증가,ESG_채권,2025-08-08,2025-08-08 01:23:59
2,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-e),KR5101888398,"1,545.69",설정액증가,ESG_채권,2025-08-08,2025-08-08 01:23:59
3,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-F),KR5101888612,817.88,설정액증가,ESG_채권,2025-08-08,2025-08-08 01:23:59
4,한국투자크레딧포커스ESG증권자투자신탁 1(채권)(C-Re),K55101BV9571,350.47,설정액증가,ESG_채권,2025-08-08,2025-08-08 01:23:59
5,삼성ESG밸류채권증권투자신탁 1[채권]_C,K55105DD8405,340.37,설정액증가,ESG_채권,2025-08-08,2025-08-08 01:23:59
