date,setup_amount,return_rate,tab_type,method,collection_time
2025.09.10,90971.54409669,0.0,SRI,JavaScript,2025-10-10 01:10:15
2025.09.11,91252.14766207,0.2705,SRI,JavaScript,2025-10-10 01:10:15
2025.09.12,91871.49663702,0.49,SRI,JavaScript,2025-10-10 01:10:15
2025.09.15,91919.01504963,0.7428,SRI,JavaScript,2025-10-10 01:10:15
2025.09.16,91961.19964281,0.795,SRI,JavaScript,2025-10-10 01:10:15
2025.09.17,92045.20011053,1.0296,SRI,JavaScript,2025-10-10 01:10:15
2025.09.18,92141.00663257,0.8757,SRI,JavaScript,2025-10-10 01:10:15
2025.09.19,92203.17609216,1.1068,SRI,JavaScript,2025-10-10 01:10:15
2025.09.22,92138.42952459,1.0847,SRI,JavaScript,2025-10-10 01:10:15
2025.09.23,92441.43253313,1.2087,SRI,JavaScript,2025-10-10 01:10:15
2025.09.24,92476.51650334,1.2975,SRI,JavaScript,2025-10-10 01:10:15
2025.09.25,92556.16637752,1.2016,SRI,JavaScript,2025-10-10 01:10:15
2025.09.26,92841.82328099,1.0782,SRI,JavaScript,2025-10-10 01:10:15
2025.09.29,93220.57917297,0.687,SRI,JavaScript,2025-10-10 01:10:15
2025.09.30,93316.12806678,0.9218,SRI,JavaScript,2025-10-10 01:10:15
2025.10.01,92252.63223019,0.9466,SRI,JavaScript,2025-10-10 01:10:15
2025.10.02,91999.57227281,1.0986,SRI,JavaScript,2025-10-10 01:10:15
2025.10.10,93726.34170774,1.5958,SRI,JavaScript,2025-10-10 01:10:15
2025.09.10,,,SRI,OCR,2025-10-10 01:10:15
2025.09.17,,,SRI,OCR,2025-10-10 01:10:15
2025.09.24,,,SRI,OCR,2025-10-10 01:10:15
2025.10.01,,,SRI,OCR,2025-10-10 01:10:15
2025.09.10,11384.30605967,0.0,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.11,11340.15111865,1.43,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.12,11268.18810231,2.4208,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.15,11184.75884997,3.6741,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.16,11131.81295437,4.024,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.17,11095.45948486,5.0566,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.18,11069.81862942,4.1638,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.19,11053.21179464,5.3373,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.22,11049.93598901,5.3071,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.23,11064.7376597,6.0723,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.24,11047.62777762,6.5268,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.25,11023.93406426,6.0581,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.26,11024.11022426,5.7097,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.29,11037.35408729,3.6849,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.30,11044.14514519,4.9495,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.10.01,11036.49326701,5.0401,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.10.02,11018.51436346,5.9323,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.10.10,10731.72996855,8.2151,ESG_주식,JavaScript,2025-10-10 01:10:15
2025.09.10,,,ESG_주식,OCR,2025-10-10 01:10:15
2025.09.17,,,ESG_주식,OCR,2025-10-10 01:10:15
2025.09.24,,,ESG_주식,OCR,2025-10-10 01:10:15
2025.10.01,,,ESG_주식,OCR,2025-10-10 01:10:15
2025.09.10,76393.59160518,0.0,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.11,76718.83043112,-0.0018,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.12,77410.82415715,0.0297,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.15,77542.8958379,0.0414,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.16,77634.68194772,0.0283,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.17,77755.94382161,0.0839,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.18,77880.96436011,0.097,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.19,77963.96480285,0.1129,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.22,77903.88551469,0.0826,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.23,78190.24240704,0.0634,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.24,78245.14729688,0.0666,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.25,78348.93302628,0.0525,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.26,78629.0244094,-0.018,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.29,78997.39188229,-0.0448,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.30,79088.86067328,-0.0381,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.10.01,78031.25869162,-0.0381,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.10.02,77796.70314693,-0.0588,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.10.10,79810.65793435,0.0519,ESG_채권,JavaScript,2025-10-10 01:10:15
2025.09.10,,,ESG_채권,OCR,2025-10-10 01:10:15
2025.09.17,,,ESG_채권,OCR,2025-10-10 01:10:15
2025.09.24,,,ESG_채권,OCR,2025-10-10 01:10:15
2025.10.01,,,ESG_채권,OCR,2025-10-10 01:10:15
