rank,fund_name,fund_code,value,type,tab_type,collection_date,collection_time
1,iM에셋월드금융주증권투자신탁(주식-재간접형)(S-P),K55366C87635,11.17%,수익률,SRI,2025-12-26,2025-12-26 01:18:39
2,iM에셋월드금융주증권투자신탁(주식-재간접형)(S),K55366C87601,11.16%,수익률,SRI,2025-12-26,2025-12-26 01:18:39
3,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Rpe),K55366C87593,11.16%,수익률,SRI,2025-12-26,2025-12-26 01:18:39
4,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Pe),K55366C87577,11.16%,수익률,SRI,2025-12-26,2025-12-26 01:18:39
5,iM에셋월드금융주증권투자신탁(주식-재간접형)(A-e),K55366C87460,11.15%,수익률,SRI,2025-12-26,2025-12-26 01:18:39
1,HDC퇴직연금좋은지배구조40증권자투자신탁[채권혼합],KR5226A47783,46.12,설정액증가,SRI,2025-12-26,2025-12-26 01:18:39
2,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,30.00,설정액증가,SRI,2025-12-26,2025-12-26 01:18:39
3,다올ESG1등단기채권증권자투자신탁[채권]종류CF,K55306CZ2509,21.37,설정액증가,SRI,2025-12-26,2025-12-26 01:18:39
4,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,15.85,설정액증가,SRI,2025-12-26,2025-12-26 01:18:39
5,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,15.83,설정액증가,SRI,2025-12-26,2025-12-26 01:18:39
1,iM에셋월드금융주증권투자신탁(주식-재간접형)(S-P),K55366C87635,11.17%,수익률,ESG_주식,2025-12-26,2025-12-26 01:18:39
2,iM에셋월드금융주증권투자신탁(주식-재간접형)(S),K55366C87601,11.16%,수익률,ESG_주식,2025-12-26,2025-12-26 01:18:39
3,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Rpe),K55366C87593,11.16%,수익률,ESG_주식,2025-12-26,2025-12-26 01:18:39
4,iM에셋월드금융주증권투자신탁(주식-재간접형)(C-Pe),K55366C87577,11.16%,수익률,ESG_주식,2025-12-26,2025-12-26 01:18:39
5,iM에셋월드금융주증권투자신탁(주식-재간접형)(A-e),K55366C87460,11.15%,수익률,ESG_주식,2025-12-26,2025-12-26 01:18:39
1,신한SOL미국S&P500ESG증권상장지수투자신탁[주식],K55210DM8224,30.00,설정액증가,ESG_주식,2025-12-26,2025-12-26 01:18:39
2,KBESG성장리더스증권자투자신탁(주식)A,KR5223821806,15.85,설정액증가,ESG_주식,2025-12-26,2025-12-26 01:18:39
3,KBESG성장리더스증권자투자신탁(주식)C-E,KR5223821848,15.83,설정액증가,ESG_주식,2025-12-26,2025-12-26 01:18:39
4,KBESG성장리더스증권자투자신탁(주식)C,KR5223821814,15.19,설정액증가,ESG_주식,2025-12-26,2025-12-26 01:18:39
5,신한글로벌탄소중립솔루션증권투자신탁(H)[주식](종류A1),K55210DM2003,6.71,설정액증가,ESG_주식,2025-12-26,2025-12-26 01:18:39
1,한국투자중기우량채증권자투자신탁(채권)(S-P),K55101CU3632,2.23%,수익률,ESG_채권,2025-12-26,2025-12-26 01:18:39
2,베어링글로벌하이일드증권자투자신탁[H](채권-재간접형)Class S-P,K55302CE8273,0.60%,수익률,ESG_채권,2025-12-26,2025-12-26 01:18:39
3,베어링글로벌하이일드증권자투자신탁[H](채권-재간접형)ClassS,K55302CE8265,0.59%,수익률,ESG_채권,2025-12-26,2025-12-26 01:18:39
4,베어링글로벌하이일드증권자투자신탁[H](채권-재간접형)ClassC-P2e,K55302CE8257,0.59%,수익률,ESG_채권,2025-12-26,2025-12-26 01:18:39
5,베어링글로벌하이일드증권자투자신탁[H](채권-재간접형)ClassC-Pe,K55302CE8232,0.59%,수익률,ESG_채권,2025-12-26,2025-12-26 01:18:39
1,다올ESG1등단기채권증권자투자신탁[채권]종류CF,K55306CZ2509,21.37,설정액증가,ESG_채권,2025-12-26,2025-12-26 01:18:39
2,브이아이ESG굿초이스증권자투자신탁 1[채권]C-E,K55104BW3851,4.69,설정액증가,ESG_채권,2025-12-26,2025-12-26 01:18:39
3,한화코리아밸류채권증권자투자신탁(채권)종류Cw,KR5103923508,2.93,설정액증가,ESG_채권,2025-12-26,2025-12-26 01:18:39
4,iM에셋ALL바른ESG단기채증권투자신탁(채권)Ae,K55368DP4360,2.62,설정액증가,ESG_채권,2025-12-26,2025-12-26 01:18:39
5,다올ESG1등단기채권증권자투자신탁[채권]종류C,K55306CZ2475,1.69,설정액증가,ESG_채권,2025-12-26,2025-12-26 01:18:39
