date,setup_amount,return_rate,tab_type,collection_date,collection_time,collection_period,period_text
2025.07.07,74605.85854372,0.0,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.08,74547.93874193,0.0718,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.09,74524.35659093,0.4071,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.10,74616.18288088,0.5094,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.11,74827.69888321,0.8771,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.14,74819.85586799,0.8384,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.15,74722.47957638,0.9639,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.16,75197.93107012,1.1076,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.17,75862.1100535,0.9823,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.18,76108.43495539,0.9833,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.21,76324.35060702,1.0196,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.22,76553.08581786,1.1869,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.23,76708.56913376,0.9733,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.24,76705.04267513,1.0637,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.25,76698.56936106,1.1142,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.28,76961.94478208,1.1893,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.29,76979.56755738,1.3004,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.30,77950.74080716,1.4553,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.07.31,78212.5274643,1.5318,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.08.01,78516.67111434,1.4995,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.08.04,78808.93872178,0.8558,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.08.05,79558.24064368,0.9805,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.08.06,79766.10163896,1.3662,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
2025.08.07,80408.11817184,1.3898,SRI,2025-08-08,2025-08-08 01:23:59,01,1개월
